file_name,file_id,normalised_id,reason
chc039-nsrr.edf,chc039,CHC039,no metadata label or missing annotation csv
chc2-001-nsrr.edf,chc2-001,CHC2-001,no metadata label or missing annotation csv
chc2-002-nsrr.edf,chc2-002,CHC2-002,no metadata label or missing annotation csv
chc2-003-nsrr.edf,chc2-003,CHC2-003,no metadata label or missing annotation csv
chc2-004-nsrr.edf,chc2-004,CHC2-004,no metadata label or missing annotation csv
chc2-005-nsrr.edf,chc2-005,CHC2-005,no metadata label or missing annotation csv
chc2-006-nsrr.edf,chc2-006,CHC2-006,no metadata label or missing annotation csv
chc2-007-nsrr.edf,chc2-007,CHC2-007,no metadata label or missing annotation csv
chc2-008-nsrr.edf,chc2-008,CHC2-008,no metadata label or missing annotation csv
chc2-009-nsrr.edf,chc2-009,CHC2-009,no metadata label or missing annotation csv
chc2-010-nsrr.edf,chc2-010,CHC2-010,no metadata label or missing annotation csv
chc2-011-nsrr.edf,chc2-011,CHC2-011,no metadata label or missing annotation csv
chc2-012-nsrr.edf,chc2-012,CHC2-012,no metadata label or missing annotation csv
chc2-013-nsrr.edf,chc2-013,CHC2-013,no metadata label or missing annotation csv
chc2-014-nsrr.edf,chc2-014,CHC2-014,no metadata label or missing annotation csv
chc2-015-nsrr.edf,chc2-015,CHC2-015,no metadata label or missing annotation csv
chc2-016-nsrr.edf,chc2-016,CHC2-016,no metadata label or missing annotation csv
chc2-017-nsrr.edf,chc2-017,CHC2-017,no metadata label or missing annotation csv
chc2-018-nsrr.edf,chc2-018,CHC2-018,no metadata label or missing annotation csv
chc2-019-nsrr.edf,chc2-019,CHC2-019,no metadata label or missing annotation csv
chc2-020-nsrr.edf,chc2-020,CHC2-020,no metadata label or missing annotation csv
chc2-021-nsrr.edf,chc2-021,CHC2-021,no metadata label or missing annotation csv
chc2-022-nsrr.edf,chc2-022,CHC2-022,no metadata label or missing annotation csv
chc2-023-nsrr.edf,chc2-023,CHC2-023,no metadata label or missing annotation csv
chc2-024-nsrr.edf,chc2-024,CHC2-024,no metadata label or missing annotation csv
chc2-025-nsrr.edf,chc2-025,CHC2-025,no metadata label or missing annotation csv
chc2-026-nsrr.edf,chc2-026,CHC2-026,no metadata label or missing annotation csv
chc2-027-nsrr.edf,chc2-027,CHC2-027,no metadata label or missing annotation csv
chc2-028-nsrr.edf,chc2-028,CHC2-028,no metadata label or missing annotation csv
chc2-029-nsrr.edf,chc2-029,CHC2-029,no metadata label or missing annotation csv
chc2-030-nsrr.edf,chc2-030,CHC2-030,no metadata label or missing annotation csv
chc2-031-nsrr.edf,chc2-031,CHC2-031,no metadata label or missing annotation csv
chc2-032-nsrr.edf,chc2-032,CHC2-032,no metadata label or missing annotation csv
chc2-033-nsrr.edf,chc2-033,CHC2-033,no metadata label or missing annotation csv
chc2-034-nsrr.edf,chc2-034,CHC2-034,no metadata label or missing annotation csv
chc2-035-nsrr.edf,chc2-035,CHC2-035,no metadata label or missing annotation csv
chc2-036-nsrr.edf,chc2-036,CHC2-036,no metadata label or missing annotation csv
chc2-037-nsrr.edf,chc2-037,CHC2-037,no metadata label or missing annotation csv
chc2-038-nsrr.edf,chc2-038,CHC2-038,no metadata label or missing annotation csv
chc2-039-nsrr.edf,chc2-039,CHC2-039,no metadata label or missing annotation csv
chc2-040-nsrr.edf,chc2-040,CHC2-040,no metadata label or missing annotation csv
chc2-041-nsrr.edf,chc2-041,CHC2-041,no metadata label or missing annotation csv
chc2-042-nsrr.edf,chc2-042,CHC2-042,no metadata label or missing annotation csv
chc2-043-nsrr.edf,chc2-043,CHC2-043,no metadata label or missing annotation csv
chc2-044-nsrr.edf,chc2-044,CHC2-044,no metadata label or missing annotation csv
chc2-045-nsrr.edf,chc2-045,CHC2-045,no metadata label or missing annotation csv
chc2-046-nsrr.edf,chc2-046,CHC2-046,no metadata label or missing annotation csv
chc2-047-nsrr.edf,chc2-047,CHC2-047,no metadata label or missing annotation csv
chc2-048-nsrr.edf,chc2-048,CHC2-048,no metadata label or missing annotation csv
chc2-049-nsrr.edf,chc2-049,CHC2-049,no metadata label or missing annotation csv
chc2-050-nsrr.edf,chc2-050,CHC2-050,no metadata label or missing annotation csv
chc2-051-nsrr.edf,chc2-051,CHC2-051,no metadata label or missing annotation csv
chc2-052-nsrr.edf,chc2-052,CHC2-052,no metadata label or missing annotation csv
chc2-053-nsrr.edf,chc2-053,CHC2-053,no metadata label or missing annotation csv
chc2-054-nsrr.edf,chc2-054,CHC2-054,no metadata label or missing annotation csv
chc2-055-nsrr.edf,chc2-055,CHC2-055,no metadata label or missing annotation csv
chc2-056-nsrr.edf,chc2-056,CHC2-056,no metadata label or missing annotation csv
chc2-057-nsrr.edf,chc2-057,CHC2-057,no metadata label or missing annotation csv
chc2-058-nsrr.edf,chc2-058,CHC2-058,no metadata label or missing annotation csv
chc2-059-nsrr.edf,chc2-059,CHC2-059,no metadata label or missing annotation csv
chc2-060-nsrr.edf,chc2-060,CHC2-060,no metadata label or missing annotation csv
