feature,importance
eeg4_theta_alpha_ratio_mean_min,0.8248238322377233
eeg4_theta_alpha_ratio_std_median,0.7683925011332317
eeg4_theta_alpha_ratio_std_min,0.761456182211666
eeg4_delta_sigma_ratio_mean_min,0.6269945083817884
eeg2_slowwave_mean_envelope_mean_min,0.5997410831232772
eeg4_iqr_std_min,0.546271663306326
eeg4_delta_sigma_ratio_std_min,0.5119941823828674
eeg1_theta_alpha_ratio_std_mean,0.5050815335834477
eeg4_delta_beta_ratio_std_max,0.4993705020095244
eeg2_theta_alpha_ratio_std_std,0.4900810088803809
eeg2_iqr_mean_min,0.45591767723886023
eeg2_theta_alpha_ratio_std_max,0.44066456599184783
eeg1_delta_beta_ratio_mean_median,0.41031522170155627
eeg4_alpha_power_std_std,0.4033047169200652
eeg4_theta_power_std_std,0.4031379340592192
eeg4_theta_power_std_mean,0.37406488048826086
eeg4_delta_beta_ratio_mean_min,0.36882974002790214
eeg2_mean_std_mean,0.35001082402936257
eeg4_iqr_mean_min,0.32929098095703074
eeg2_theta_alpha_ratio_std_mean,0.32152227911507275
eeg4_theta_alpha_ratio_std_mean,0.31748626234286315
eeg4_mean_std_min,0.29289097506931927
eeg4_delta_sigma_ratio_mean_median,0.2820596386922332
eeg4_theta_alpha_ratio_mean_median,0.2578123922875989
eeg4_mean_median_min,0.241614810391965
eeg1_delta_power_std_mean,0.22840805814852613
eeg1_delta_sigma_ratio_std_std,0.22256829672717512
eeg2_spindle_max_envelope_std_std,0.2172896327850571
eeg4_std_mean_mean,0.21712591974739848
eeg1_delta_sigma_ratio_mean_median,0.21029634958341345
eeg1_delta_sigma_ratio_mean_mean,0.20459492345466196
eeg4_slowwave_mean_envelope_mean_min,0.18994981968148902
eeg1_theta_alpha_ratio_std_min,0.18647034849554608
eeg1_delta_sigma_ratio_mean_std,0.18372660742719316
eeg1_theta_alpha_ratio_std_median,0.18145779576514853
eeg4_std_mean_min,0.1752731347322547
eeg1_delta_beta_ratio_std_max,0.17390546296027626
eeg1_delta_beta_ratio_std_std,0.17288725769547755
eeg4_iqr_std_median,0.17103246696570948
eeg1_slowwave_max_envelope_std_mean,0.16981601624958684
eeg2_spindle_mean_envelope_median_mean,0.16703964738033944
eeg2_permutation_entropy_std_min,0.16679018128628345
eeg4_std_std_mean,0.1666557882086185
eeg1_slowwave_max_envelope_mean_mean,0.15681550846760245
eeg1_slowwave_mean_envelope_mean_mean,0.1552317216660194
eeg4_delta_beta_ratio_mean_median,0.14842345492555367
eeg4_spindle_mean_envelope_mean_min,0.14483543148595351
eeg1_iqr_mean_median,0.13499577092733062
eeg4_delta_beta_ratio_std_median,0.13197205166511608
eeg4_slowwave_max_envelope_mean_min,0.13158448297170466
eeg1_slowwave_mean_envelope_std_mean,0.1292663738871334
eeg1_delta_sigma_ratio_std_max,0.1271192144184573
eeg1_std_mean_median,0.12268145994037047
eeg1_delta_sigma_ratio_mean_max,0.12084562177169109
eeg4_slowwave_mean_envelope_mean_median,0.11910247447603252
eeg4_delta_sigma_ratio_std_median,0.11742114454504268
eeg1_delta_beta_ratio_mean_std,0.11050690126056127
eeg1_std_std_median,0.10924477351254944
eeg1_delta_beta_ratio_std_median,0.10658720222713874
eeg4_delta_sigma_ratio_std_mean,0.09969866496094203
eeg1_slowwave_max_envelope_std_std,0.09426134170103119
eeg1_delta_beta_ratio_mean_mean,0.09213157591627943
eeg1_slowwave_max_envelope_mean_std,0.0866845205483506
eeg1_delta_beta_ratio_mean_max,0.08499442057065905
eeg4_std_mean_median,0.07489508855114743
eeg1_spindle_max_envelope_mean_mean,0.07279735916268835
eeg1_delta_beta_ratio_std_mean,0.06781303793478752
eeg4_slowwave_mean_envelope_mean_mean,0.056214049041959306
eeg4_theta_alpha_ratio_mean_mean,0.055236752643762925
eeg4_slowwave_mean_envelope_std_min,0.047577665500184156
eeg4_iqr_mean_median,0.04424626186867963
eeg1_slowwave_mean_envelope_mean_median,0.039986911753863694
eeg1_mean_std_median,0.03930836659522007
eeg4_delta_beta_ratio_std_mean,0.03700067077623253
eeg4_slowwave_mean_envelope_std_mean,0.033370039801956144
eeg2_spindle_max_envelope_mean_mean,0.03030061704329331
eeg1_delta_sigma_ratio_std_mean,0.02108268282635487
eeg1_std_mean_mean,0.020106856694264392
eeg1_std_std_mean,0.005563012118191551
eeg1_slowwave_max_envelope_std_max,0.000917836240949974
