model,fold_id,best_score_inner,best_params
logistic_regression,1,0.7833333333333333,"{'select__k': 30, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.01)}"
logistic_regression,2,0.6,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__C': np.float64(10.0)}"
logistic_regression,3,0.7870370370370369,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.01)}"
logistic_regression,4,0.75,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__C': np.float64(31.622776601683793)}"
logistic_regression,5,0.7574074074074074,"{'select__k': 10, 'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__C': np.float64(3.1622776601683795)}"
logistic_regression,6,0.7407407407407408,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(1.0)}"
logistic_regression,7,0.7185185185185184,"{'select__k': 10, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.01)}"
logistic_regression,8,0.6037037037037036,"{'select__k': 30, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(31.622776601683793)}"
logistic_regression,9,0.6722222222222222,"{'select__k': 30, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(10.0)}"
logistic_regression,10,0.7259259259259259,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(31.622776601683793)}"
logistic_regression,11,0.75,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.01)}"
logistic_regression,12,0.7555555555555555,"{'select__k': 30, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.01)}"
logistic_regression,13,0.7351851851851853,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__C': np.float64(0.31622776601683794)}"
logistic_regression,14,0.825925925925926,"{'select__k': 10, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.03162277660168379)}"
logistic_regression,15,0.7722222222222221,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.01)}"
logistic_regression,16,0.7444444444444445,"{'select__k': 20, 'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__C': np.float64(1.0)}"
logistic_regression,17,0.7388888888888888,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(1.0)}"
logistic_regression,18,0.7518518518518519,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.03162277660168379)}"
logistic_regression,19,0.662962962962963,"{'select__k': 10, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(1.0)}"
logistic_regression,20,0.674074074074074,"{'select__k': 20, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(1.0)}"
logistic_regression,21,0.5666666666666668,"{'select__k': 30, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.03162277660168379)}"
logistic_regression,22,0.7481481481481481,"{'select__k': 30, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(10.0)}"
logistic_regression,23,0.7870370370370371,"{'select__k': 30, 'model__solver': 'liblinear', 'model__penalty': 'l1', 'model__C': np.float64(3.1622776601683795)}"
logistic_regression,24,0.7314814814814815,"{'select__k': 10, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.01)}"
logistic_regression,25,0.6907407407407407,"{'select__k': 50, 'model__solver': 'liblinear', 'model__penalty': 'l2', 'model__C': np.float64(0.31622776601683794)}"
linear_svm,1,0.8351851851851851,"{'select__k': 10, 'model__C': np.float64(1.0)}"
linear_svm,2,0.5925925925925926,"{'select__k': 30, 'model__C': np.float64(0.01)}"
linear_svm,3,0.7314814814814815,"{'select__k': 50, 'model__C': np.float64(0.31622776601683794)}"
linear_svm,4,0.7666666666666666,"{'select__k': 50, 'model__C': np.float64(1.0)}"
linear_svm,5,0.7648148148148147,"{'select__k': 30, 'model__C': np.float64(3.1622776601683795)}"
linear_svm,6,0.7407407407407408,"{'select__k': 50, 'model__C': np.float64(31.622776601683793)}"
linear_svm,7,0.6685185185185185,"{'select__k': 50, 'model__C': np.float64(100.0)}"
linear_svm,8,0.637037037037037,"{'select__k': 30, 'model__C': np.float64(0.03162277660168379)}"
linear_svm,9,0.6777777777777777,"{'select__k': 10, 'model__C': np.float64(0.1)}"
linear_svm,10,0.7129629629629631,"{'select__k': 10, 'model__C': np.float64(0.31622776601683794)}"
linear_svm,11,0.7462962962962963,"{'select__k': 10, 'model__C': np.float64(0.03162277660168379)}"
linear_svm,12,0.6888888888888888,"{'select__k': 50, 'model__C': np.float64(0.01)}"
linear_svm,13,0.6888888888888888,"{'select__k': 50, 'model__C': np.float64(10.0)}"
linear_svm,14,0.8388888888888889,"{'select__k': 50, 'model__C': np.float64(0.1)}"
linear_svm,15,0.7111111111111111,"{'select__k': 50, 'model__C': np.float64(0.03162277660168379)}"
linear_svm,16,0.6888888888888888,"{'select__k': 20, 'model__C': np.float64(10.0)}"
linear_svm,17,0.662962962962963,"{'select__k': 30, 'model__C': np.float64(0.03162277660168379)}"
linear_svm,18,0.6185185185185186,"{'select__k': 10, 'model__C': np.float64(0.01)}"
linear_svm,19,0.6018518518518519,"{'select__k': 50, 'model__C': np.float64(0.31622776601683794)}"
