column,missing_count,missing_percentage
Wake_percentage_min,49,1.0
Wake_percentage_mean,49,1.0
Wake_percentage_max,49,1.0
Wake_percentage_std,49,1.0
Wake_percentage_median,49,1.0
N1_percentage_std,4,0.08163265306122448
N2_percentage_std,4,0.08163265306122448
REM_percentage_std,4,0.08163265306122448
N3_percentage_std,4,0.08163265306122448
eeg2_skew_median_std,3,0.061224489795918366
eeg2_kurtosis_mean_std,3,0.061224489795918366
eeg2_kurtosis_std_std,3,0.061224489795918366
eeg2_kurtosis_median_std,3,0.061224489795918366
eeg2_zero_crossings_mean_std,3,0.061224489795918366
eeg2_zero_crossings_std_std,3,0.061224489795918366
eeg2_theta_alpha_ratio_std_std,3,0.061224489795918366
eeg2_zero_crossings_median_std,3,0.061224489795918366
eeg2_skew_mean_std,3,0.061224489795918366
eeg2_hjorth_mobility_mean_std,3,0.061224489795918366
eeg2_hjorth_mobility_std_std,3,0.061224489795918366
eeg2_hjorth_mobility_median_std,3,0.061224489795918366
eeg2_hjorth_complexity_mean_std,3,0.061224489795918366
eeg2_hjorth_complexity_std_std,3,0.061224489795918366
eeg2_hjorth_complexity_median_std,3,0.061224489795918366
eeg2_total_power_0p5_30_mean_std,3,0.061224489795918366
eeg2_skew_std_std,3,0.061224489795918366
eeg2_std_std_std,3,0.061224489795918366
eeg2_iqr_median_std,3,0.061224489795918366
eeg2_iqr_std_std,3,0.061224489795918366
eeg2_iqr_mean_std,3,0.061224489795918366
eeg2_std_median_std,3,0.061224489795918366
eeg2_total_power_0p5_30_median_std,3,0.061224489795918366
eeg2_std_mean_std,3,0.061224489795918366
eeg2_mean_median_std,3,0.061224489795918366
eeg2_mean_std_std,3,0.061224489795918366
eeg2_mean_mean_std,3,0.061224489795918366
eeg1_delta_sigma_ratio_median_std,3,0.061224489795918366
eeg1_delta_sigma_ratio_std_std,3,0.061224489795918366
eeg1_delta_sigma_ratio_mean_std,3,0.061224489795918366
eeg1_delta_beta_ratio_median_std,3,0.061224489795918366
eeg1_delta_beta_ratio_std_std,3,0.061224489795918366
eeg1_delta_beta_ratio_mean_std,3,0.061224489795918366
eeg2_total_power_0p5_30_std_std,3,0.061224489795918366
eeg2_delta_relative_power_std_std,3,0.061224489795918366
eeg2_delta_power_mean_std,3,0.061224489795918366
eeg2_alpha_relative_power_median_std,3,0.061224489795918366
eeg2_theta_alpha_ratio_median_std,3,0.061224489795918366
eeg2_theta_alpha_ratio_mean_std,3,0.061224489795918366
eeg2_beta_relative_power_median_std,3,0.061224489795918366
eeg2_beta_relative_power_std_std,3,0.061224489795918366
eeg2_beta_relative_power_mean_std,3,0.061224489795918366
eeg2_beta_power_median_std,3,0.061224489795918366
eeg2_beta_power_std_std,3,0.061224489795918366
eeg2_beta_power_mean_std,3,0.061224489795918366
eeg2_sigma_relative_power_median_std,3,0.061224489795918366
eeg2_sigma_relative_power_std_std,3,0.061224489795918366
eeg2_sigma_relative_power_mean_std,3,0.061224489795918366
eeg2_sigma_power_median_std,3,0.061224489795918366
eeg2_sigma_power_std_std,3,0.061224489795918366
eeg2_sigma_power_mean_std,3,0.061224489795918366
eeg2_alpha_relative_power_std_std,3,0.061224489795918366
eeg2_delta_power_std_std,3,0.061224489795918366
eeg2_alpha_relative_power_mean_std,3,0.061224489795918366
eeg2_alpha_power_median_std,3,0.061224489795918366
eeg2_alpha_power_std_std,3,0.061224489795918366
eeg2_alpha_power_mean_std,3,0.061224489795918366
eeg2_theta_relative_power_median_std,3,0.061224489795918366
eeg2_theta_relative_power_std_std,3,0.061224489795918366
eeg2_theta_relative_power_mean_std,3,0.061224489795918366
eeg2_theta_power_median_std,3,0.061224489795918366
eeg2_theta_power_std_std,3,0.061224489795918366
eeg2_theta_power_mean_std,3,0.061224489795918366
eeg2_delta_relative_power_median_std,3,0.061224489795918366
eeg1_theta_alpha_ratio_mean_std,3,0.061224489795918366
eeg2_delta_relative_power_mean_std,3,0.061224489795918366
eeg2_delta_power_median_std,3,0.061224489795918366
eeg1_theta_alpha_ratio_std_std,3,0.061224489795918366
eeg1_beta_power_std_std,3,0.061224489795918366
eeg1_beta_relative_power_median_std,3,0.061224489795918366
eeg1_kurtosis_std_std,3,0.061224489795918366
eeg1_iqr_std_std,3,0.061224489795918366
eeg1_iqr_median_std,3,0.061224489795918366
eeg1_skew_mean_std,3,0.061224489795918366
eeg1_skew_std_std,3,0.061224489795918366
eeg1_skew_median_std,3,0.061224489795918366
eeg1_kurtosis_mean_std,3,0.061224489795918366
eeg1_kurtosis_median_std,3,0.061224489795918366
eeg1_beta_relative_power_std_std,3,0.061224489795918366
eeg1_zero_crossings_mean_std,3,0.061224489795918366
eeg1_zero_crossings_std_std,3,0.061224489795918366
eeg1_zero_crossings_median_std,3,0.061224489795918366
eeg1_hjorth_mobility_mean_std,3,0.061224489795918366
eeg1_hjorth_mobility_std_std,3,0.061224489795918366
eeg1_hjorth_mobility_median_std,3,0.061224489795918366
eeg1_iqr_mean_std,3,0.061224489795918366
eeg1_std_median_std,3,0.061224489795918366
eeg1_std_std_std,3,0.061224489795918366
eeg1_std_mean_std,3,0.061224489795918366
eeg1_mean_median_std,3,0.061224489795918366
eeg1_mean_std_std,3,0.061224489795918366
eeg1_mean_mean_std,3,0.061224489795918366
REM_epochs_std,3,0.061224489795918366
N3_epochs_std,3,0.061224489795918366
