feature,model_importance,permutation_importance_mean,permutation_importance_std,importance
report__confidence_n1_percentage_max,0.10429328047205477,-0.011574074074074034,0.005176083281249495,0.10429328047205477
h5__eeg4_theta_alpha_ratio_std_median,0.09946650779721802,-0.005555555555555532,0.007691318391590792,0.09946650779721802
h5__eeg4_theta_alpha_ratio_std_min,0.04494763088258492,0.0,0.0,0.04494763088258492
report__confidence_n1_duration_median,0.03470000593485109,0.0,0.0,0.03470000593485109
report__confidence_nrem_percentage_max,0.03417690188145265,-0.006481481481481459,0.006928995160692459,0.03417690188145265
h5__eeg4_delta_beta_ratio_mean_min,0.03381894080946443,0.0,0.0,0.03381894080946443
report__confidence_nrem_duration_median,0.031556117200055224,0.0,0.0,0.031556117200055224
report__confidence_waso_aasm_median,0.030910103142070846,0.0,0.0,0.030910103142070846
h5__eeg4_theta_alpha_ratio_mean_min,0.030866921861068753,0.0,0.0,0.030866921861068753
report__confidence_rem_percentage_max,0.030817995994012873,0.0,0.0,0.030817995994012873
report__confidence_wake_duration_median,0.030177258306449718,0.0,0.0,0.030177258306449718
h5__eeg4_delta_sigma_ratio_mean_min,0.02872678631827661,0.0,0.0,0.02872678631827661
h5__eeg1_theta_alpha_ratio_std_mean,0.02751059231892851,-0.001388888888888884,0.004166666666666651,0.02751059231892851
report__confidence_sleep_efficiency_mean,0.024647033473958635,-0.012037037037036994,0.004721314364437747,0.024647033473958635
report__confidence_tst_median,0.024440895794454364,0.0,0.0,0.024440895794454364
report__confidence_waso_median,0.023218205270343694,0.0,0.0,0.023218205270343694
report__awakenings_median,0.02285851937977718,-0.007870370370370342,0.006882439234869653,0.02285851937977718
report__confidence_n1_percentage_median,0.022673183302916403,0.0,0.0,0.022673183302916403
h5__eeg4_iqr_mean_min,0.022520139492837425,0.0,0.0,0.022520139492837425
report__confidence_n1_duration_mean,0.01980619345300778,0.0,0.0,0.01980619345300778
report__confidence_nrem_percentage_mean,0.018459149145604613,0.0,0.0,0.018459149145604613
h5__eeg4_std_mean_min,0.017087535818048994,0.0,0.0,0.017087535818048994
report__confidence_n3_percentage_mean,0.015124255318864067,0.0,0.0,0.015124255318864067
h5__eeg4_iqr_std_min,0.015061932617794692,0.0,0.0,0.015061932617794692
report__confidence_n1_percentage_mean,0.013761214320319572,0.0,0.0,0.013761214320319572
report__confidence_n2_percentage_mean,0.013451972329204039,0.0,0.0,0.013451972329204039
report__confidence_rem_percentage_mean,0.013421468234956546,0.0,0.0,0.013421468234956546
report__confidence_nrem_duration_mean,0.013274094963335183,0.0,0.0,0.013274094963335183
report__confidence_sleep_efficiency_median,0.012189525352667242,0.0,0.0,0.012189525352667242
h5__eeg4_delta_beta_ratio_mean_median,0.011521911127299424,0.0,0.0,0.011521911127299424
report__confidence_n2_percentage_max,0.010896461168865626,0.0,0.0,0.010896461168865626
h5__eeg1_delta_sigma_ratio_std_max,0.010559015438694022,0.0,0.0,0.010559015438694022
h5__eeg1_delta_beta_ratio_std_max,0.009930502341829447,0.0,0.0,0.009930502341829447
h5__eeg1_delta_sigma_ratio_mean_median,0.009751460386987371,0.0,0.0,0.009751460386987371
h5__eeg1_delta_beta_ratio_mean_median,0.009353217361432837,0.0,0.0,0.009353217361432837
h5__eeg1_delta_beta_ratio_mean_mean,0.009156432561290066,0.0,0.0,0.009156432561290066
h5__eeg1_delta_beta_ratio_std_mean,0.008189360468265076,0.0,0.0,0.008189360468265076
report__confidence_tst_mean,0.008102061778641284,0.0,0.0,0.008102061778641284
report__confidence_wake_duration_mean,0.007893037663809905,0.0,0.0,0.007893037663809905
report__confidence_rem_duration_median,0.007869606061377174,0.0,0.0,0.007869606061377174
h5__eeg4_iqr_mean_median,0.007092727181894787,0.0,0.0,0.007092727181894787
report__confidence_n2_percentage_median,0.006119014171433619,0.0,0.0,0.006119014171433619
h5__eeg1_delta_beta_ratio_mean_max,0.005274430314174083,0.0,0.0,0.005274430314174083
report__confidence_n3_percentage_median,0.004699058662371662,0.0,0.0,0.004699058662371662
h5__eeg1_delta_sigma_ratio_mean_mean,0.004651971018031772,0.0,0.0,0.004651971018031772
h5__eeg1_delta_beta_ratio_mean_std,0.004324015122729083,0.0,0.0,0.004324015122729083
report__confidence_rem_duration_mean,0.003570457947496784,0.0,0.0,0.003570457947496784
report__proportion_off_head_median,0.0032146295460936322,0.0,0.0,0.0032146295460936322
report__confidence_nrem_percentage_median,0.0029993472486434373,0.0,0.0,0.0029993472486434373
report__confidence_rem_percentage_median,0.000866921242060078,0.0,0.0,0.000866921242060078
