feature,model_importance,permutation_importance_mean,permutation_importance_std,importance
eeg4_theta_alpha_ratio_std_min,0.8789279125862223,0.06982323232323236,0.04306542833379273,0.06982323232323236
eeg2_iqr_mean_min,0.6986747115277854,0.048989898989899076,0.035644545431502826,0.048989898989899076
eeg4_theta_alpha_ratio_std_median,0.8622805289774608,0.048316498316498376,0.041819347511635144,0.048316498316498376
eeg4_alpha_power_std_std,0.6174685424424408,0.04452861952861958,0.008735167714867263,0.04452861952861958
eeg4_theta_alpha_ratio_mean_min,0.7884808826532617,0.04448653198653204,0.0415244529122683,0.04448653198653204
eeg1_delta_beta_ratio_mean_median,0.5378815581449576,0.03350168350168358,0.026865042198987693,0.03350168350168358
eeg2_theta_alpha_ratio_std_mean,0.4926059972641303,0.025673400673400747,0.02055492819686985,0.025673400673400747
eeg1_delta_sigma_ratio_mean_median,0.31661771371957004,0.01780303030303036,0.02495265983416149,0.01780303030303036
eeg4_delta_beta_ratio_std_median,0.23235207575785466,0.011658249158249178,0.02052996480864668,0.011658249158249178
eeg4_delta_sigma_ratio_mean_min,0.4772304285627411,0.011531986531986576,0.024647062604289876,0.011531986531986576
eeg1_std_mean_median,0.2566976343378674,0.010353535353535386,0.016499390125171366,0.010353535353535386
eeg1_delta_sigma_ratio_mean_mean,0.2717398425295466,0.010269360269360294,0.021707708114744928,0.010269360269360294
eeg4_delta_beta_ratio_std_max,0.5850304333883765,0.009259259259259307,0.00971119303861254,0.009259259259259307
eeg2_theta_alpha_ratio_std_std,0.525439395895859,0.008796296296296342,0.011043389298033888,0.008796296296296342
eeg1_theta_alpha_ratio_std_mean,0.5271793856117937,0.008754208754208789,0.01954675229221388,0.008754208754208789
eeg4_delta_sigma_ratio_std_median,0.23241584550473593,0.007575757575757587,0.016939908920452974,0.007575757575757587
eeg1_delta_sigma_ratio_std_std,0.2690393142027988,0.007239057239057256,0.0185594130647236,0.007239057239057256
eeg4_iqr_mean_min,0.4196627616389932,0.00555555555555558,0.007691318391590844,0.00555555555555558
eeg4_delta_beta_ratio_mean_median,0.1984440550517094,0.005260942760942781,0.01867686547864205,0.005260942760942781
eeg1_delta_sigma_ratio_std_max,0.1772247245623586,0.005260942760942781,0.018676865478642054,0.005260942760942781
eeg4_iqr_std_min,0.5741402002276763,0.004166666666666704,0.012500000000000027,0.004166666666666704
eeg4_iqr_std_median,0.22018776787301045,0.0032828282828283022,0.017415090555117856,0.0032828282828283022
eeg4_mean_std_min,0.15265409215978104,0.0031565656565656687,0.014694821773690034,0.0031565656565656687
eeg1_delta_sigma_ratio_mean_std,0.1719229784472836,0.0031565656565656687,0.014694821773690034,0.0031565656565656687
eeg4_delta_sigma_ratio_std_min,0.4414847460091894,0.0027777777777778048,0.009072184232530305,0.0027777777777778048
eeg1_delta_beta_ratio_std_max,0.2330422223144361,0.00277777777777779,0.00555555555555558,0.00277777777777779
eeg1_delta_beta_ratio_std_std,0.23427337445287028,0.00277777777777779,0.00555555555555558,0.00277777777777779
eeg4_theta_alpha_ratio_std_mean,0.37855443783137466,0.0015572390572390904,0.01838030955204174,0.0015572390572390904
eeg4_delta_beta_ratio_mean_min,0.3371088905351021,0.0013888888888889024,0.006563632814239746,0.0013888888888889024
eeg1_delta_beta_ratio_mean_std,0.18320885812784404,0.0009259259259259301,0.0034644975803462567,0.0009259259259259301
eeg1_delta_beta_ratio_mean_max,0.1401846080544174,0.00046296296296296504,0.002493131855154875,0.00046296296296296504
eeg4_std_mean_median,0.14191277201613223,0.00012626262626263355,0.009388541133849147,0.00012626262626263355
eeg1_delta_sigma_ratio_mean_max,0.08743036583447474,0.0,0.0,0.0
eeg1_delta_beta_ratio_mean_mean,0.1078757687282098,0.0,0.0,0.0
eeg1_delta_beta_ratio_std_mean,0.058500169175845024,0.0,0.0,0.0
eeg4_std_mean_min,0.1498814417636593,0.0,0.0,0.0
eeg1_std_mean_mean,0.002699682773173675,0.0,0.0,0.0
eeg4_theta_alpha_ratio_mean_mean,0.06957782868723539,0.0,0.0,0.0
eeg1_std_std_mean,0.03685125385323566,0.0,0.0,0.0
eeg4_delta_beta_ratio_std_mean,0.003342120669372888,0.0,0.0,0.0
eeg4_delta_sigma_ratio_std_mean,0.04322261407184283,0.0,0.0,0.0
eeg1_iqr_mean_median,0.10330529598351401,0.0,0.0,0.0
eeg1_delta_sigma_ratio_std_mean,0.066645865309333,-0.0004629629629629613,0.002493131855154853,-0.0004629629629629613
eeg2_theta_alpha_ratio_std_max,0.3752707782391457,-0.0013888888888888692,0.008294663364430051,-0.0013888888888888692
eeg4_iqr_mean_median,0.08082383851519448,-0.001388888888888884,0.004166666666666652,-0.001388888888888884
eeg1_mean_std_median,0.4571341310924109,-0.001851851851851823,0.010597706613203334,-0.001851851851851823
eeg4_theta_alpha_ratio_mean_median,0.12420987635374721,-0.002777777777777768,0.005555555555555536,-0.002777777777777768
eeg1_theta_alpha_ratio_std_min,0.16671205333028946,-0.004629629629629613,0.006547285010986527,-0.004629629629629613
eeg1_std_std_median,0.16385132312607822,-0.006481481481481459,0.006928995160692459,-0.006481481481481459
eeg1_theta_alpha_ratio_std_median,0.16010528000286361,-0.007870370370370342,0.006882439234869653,-0.007870370370370342
