feature,model_importance,permutation_importance_mean,permutation_importance_std,importance
nrem_percentage_median,0.029172132791831774,0.025462962962963076,0.005176083281249536,0.025462962962963076
rem_percentage_median,0.03320827645961235,0.025000000000000112,0.005555555555555579,0.025000000000000112
confidence_sleep_efficiency_min,0.023550100025613436,0.00462962962962965,0.0065472850109865805,0.00462962962962965
confidence_sleep_efficiency_mean,0.030046226037427053,0.001388888888888895,0.004166666666666686,0.001388888888888895
awakenings_mean,0.007086759071640952,0.0,0.0,0.0
confidence_wake_duration_median,0.021613215813450257,0.0,0.0,0.0
confidence_n3_duration_median,0.008418077704260011,0.0,0.0,0.0
confidence_n3_percentage_median,0.00457856462345328,0.0,0.0,0.0
confidence_nrem_duration_median,0.025301047552908924,0.0,0.0,0.0
confidence_nrem_percentage_median,0.006046613428274655,0.0,0.0,0.0
confidence_rem_duration_median,0.005108737136149684,0.0,0.0,0.0
confidence_rem_percentage_median,0.00331425343401488,0.0,0.0,0.0
confidence_sleep_efficiency_median,0.011861629548213567,0.0,0.0,0.0
confidence_tst_median,0.016801767329783446,0.0,0.0,0.0
confidence_waso_aasm_median,0.02402486391804034,0.0,0.0,0.0
confidence_waso_median,0.0195736535652695,0.0,0.0,0.0
confidence_n2_duration_median,0.0052799743849676,0.0,0.0,0.0
nr_of_shifts_median,0.013262577496185535,0.0,0.0,0.0
proportion_off_head_median,0.0025616882167613523,0.0,0.0,0.0
proportion_scorable_and_on_head_median,0.006277169713182997,0.0,0.0,0.0
record_quality_index_median,0.006467513915774643,0.0,0.0,0.0
confidence_n1_percentage_max,0.08284999298529105,0.0,0.0,0.0
confidence_n2_percentage_max,0.012059678288518018,0.0,0.0,0.0
confidence_nrem_percentage_max,0.042929974192696105,0.0,0.0,0.0
confidence_n2_percentage_median,0.005989944635109389,0.0,0.0,0.0
confidence_n1_percentage_median,0.026876438828819096,0.0,0.0,0.0
confidence_awakenings_mean,0.0155676854698893,0.0,0.0,0.0
confidence_n1_duration_median,0.02973798019692535,0.0,0.0,0.0
confidence_n1_duration_mean,0.017349347444480474,0.0,0.0,0.0
confidence_n1_percentage_mean,0.02704028713521383,0.0,0.0,0.0
confidence_n2_duration_mean,0.010686220062046344,0.0,0.0,0.0
confidence_n2_percentage_mean,0.012613087060219767,0.0,0.0,0.0
confidence_n3_duration_mean,0.005511309993875281,0.0,0.0,0.0
confidence_n3_percentage_mean,0.014721623156200354,0.0,0.0,0.0
confidence_nr_of_shifts_mean,0.06867010373531493,0.0,0.0,0.0
confidence_nrem_duration_mean,0.016488304638165724,0.0,0.0,0.0
confidence_nrem_percentage_mean,0.009149400154282684,0.0,0.0,0.0
confidence_rem_duration_mean,0.009942165228112646,0.0,0.0,0.0
confidence_rem_percentage_mean,0.01414588924505094,0.0,0.0,0.0
confidence_tst_mean,0.008194237095672357,0.0,0.0,0.0
confidence_wake_duration_mean,0.007671484998341158,0.0,0.0,0.0
confidence_waso_mean,0.009211883902869188,0.0,0.0,0.0
lps_mean,0.05107306143664893,0.0,0.0,0.0
proportion_off_head_mean,0.009594260158319799,0.0,0.0,0.0
proportion_scorable_and_on_head_mean,0.0022237464959416666,0.0,0.0,0.0
sol_aasm_mean,0.04545880046975629,0.0,0.0,0.0
awakenings_median,0.01973785677031746,0.0,0.0,0.0
confidence_awakenings_median,0.016735057998333504,0.0,0.0,0.0
confidence_rem_percentage_max,0.04735423770943925,0.0,0.0,0.0
sol_mean,0.056861098347333064,-0.004629629629629613,0.006547285010986528,-0.004629629629629613
