dataset,feature,model_importance,permutation_importance_mean,permutation_importance_std,importance
combined_report_h5,report__confidence_n1_percentage_max,0.1042932804720547,-0.011574074074074,0.0051760832812494,0.1042932804720547
combined_report_h5,h5__eeg4_theta_alpha_ratio_std_median,0.099466507797218,-0.0055555555555555,0.0076913183915907,0.099466507797218
combined_report_h5,h5__eeg4_theta_alpha_ratio_std_min,0.0449476308825849,0.0,0.0,0.0449476308825849
combined_report_h5,report__confidence_n1_duration_median,0.034700005934851,0.0,0.0,0.034700005934851
combined_report_h5,report__confidence_nrem_percentage_max,0.0341769018814526,-0.0064814814814814,0.0069289951606924,0.0341769018814526
combined_report_h5,h5__eeg4_delta_beta_ratio_mean_min,0.0338189408094644,0.0,0.0,0.0338189408094644
combined_report_h5,report__confidence_nrem_duration_median,0.0315561172000552,0.0,0.0,0.0315561172000552
combined_report_h5,report__confidence_waso_aasm_median,0.0309101031420708,0.0,0.0,0.0309101031420708
combined_report_h5,h5__eeg4_theta_alpha_ratio_mean_min,0.0308669218610687,0.0,0.0,0.0308669218610687
combined_report_h5,report__confidence_rem_percentage_max,0.0308179959940128,0.0,0.0,0.0308179959940128
combined_report_h5,report__confidence_wake_duration_median,0.0301772583064497,0.0,0.0,0.0301772583064497
combined_report_h5,h5__eeg4_delta_sigma_ratio_mean_min,0.0287267863182766,0.0,0.0,0.0287267863182766
combined_report_h5,h5__eeg1_theta_alpha_ratio_std_mean,0.0275105923189285,-0.0013888888888888,0.0041666666666666,0.0275105923189285
combined_report_h5,report__confidence_sleep_efficiency_mean,0.0246470334739586,-0.0120370370370369,0.0047213143644377,0.0246470334739586
combined_report_h5,report__confidence_tst_median,0.0244408957944543,0.0,0.0,0.0244408957944543
combined_report_h5,report__confidence_waso_median,0.0232182052703436,0.0,0.0,0.0232182052703436
combined_report_h5,report__awakenings_median,0.0228585193797771,-0.0078703703703703,0.0068824392348696,0.0228585193797771
combined_report_h5,report__confidence_n1_percentage_median,0.0226731833029164,0.0,0.0,0.0226731833029164
combined_report_h5,h5__eeg4_iqr_mean_min,0.0225201394928374,0.0,0.0,0.0225201394928374
combined_report_h5,report__confidence_n1_duration_mean,0.0198061934530077,0.0,0.0,0.0198061934530077
combined_report_h5,report__confidence_nrem_percentage_mean,0.0184591491456046,0.0,0.0,0.0184591491456046
combined_report_h5,h5__eeg4_std_mean_min,0.0170875358180489,0.0,0.0,0.0170875358180489
combined_report_h5,report__confidence_n3_percentage_mean,0.015124255318864,0.0,0.0,0.015124255318864
combined_report_h5,h5__eeg4_iqr_std_min,0.0150619326177946,0.0,0.0,0.0150619326177946
combined_report_h5,report__confidence_n1_percentage_mean,0.0137612143203195,0.0,0.0,0.0137612143203195
combined_report_h5,report__confidence_n2_percentage_mean,0.013451972329204,0.0,0.0,0.013451972329204
combined_report_h5,report__confidence_rem_percentage_mean,0.0134214682349565,0.0,0.0,0.0134214682349565
combined_report_h5,report__confidence_nrem_duration_mean,0.0132740949633351,0.0,0.0,0.0132740949633351
combined_report_h5,report__confidence_sleep_efficiency_median,0.0121895253526672,0.0,0.0,0.0121895253526672
combined_report_h5,h5__eeg4_delta_beta_ratio_mean_median,0.0115219111272994,0.0,0.0,0.0115219111272994
