feature,source,family
report__average_respiration_rate_mean,report,respiratory_or_oxygen
report__awakenings_mean,report,sleep_architecture
report__confidence_awakenings_mean,report,sleep_architecture
report__confidence_last_sleep_mean,report,other
report__confidence_lps_mean,report,sleep_architecture
report__confidence_lrem4_mean,report,sleep_architecture
report__confidence_n1_duration_mean,report,sleep_architecture
report__confidence_n1_percentage_mean,report,sleep_architecture
report__confidence_n2_duration_mean,report,sleep_architecture
report__confidence_n2_latency_aasm_mean,report,sleep_architecture
report__confidence_n2_percentage_mean,report,sleep_architecture
report__confidence_n3_duration_mean,report,sleep_architecture
report__confidence_n3_latency_aasm_mean,report,sleep_architecture
report__confidence_n3_percentage_mean,report,sleep_architecture
report__confidence_nr_of_shifts_mean,report,sleep_architecture
report__confidence_nrem_duration_mean,report,sleep_architecture
report__confidence_nrem_percentage_mean,report,sleep_architecture
report__confidence_rem_duration_mean,report,sleep_architecture
report__confidence_rem_latency_mean,report,sleep_architecture
report__confidence_rem_latency_aasm_mean,report,sleep_architecture
report__confidence_rem_percentage_mean,report,sleep_architecture
report__confidence_sleep_efficiency_mean,report,sleep_architecture
report__confidence_sleep_onset_mean,report,sleep_architecture
report__confidence_sol_mean,report,sleep_architecture
report__confidence_sol_aasm_mean,report,sleep_architecture
report__confidence_tst_mean,report,sleep_architecture
report__confidence_wake_duration_mean,report,sleep_architecture
report__confidence_waso_mean,report,sleep_architecture
report__confidence_waso_aasm_mean,report,sleep_architecture
report__lps_mean,report,sleep_architecture
report__lrem4_mean,report,sleep_architecture
report__micro_arousal_index_mean,report,other
report__n1_duration_mean,report,sleep_architecture
report__n1_percentage_mean,report,sleep_architecture
report__n2_duration_mean,report,sleep_architecture
report__n2_latency_aasm_mean,report,sleep_architecture
report__n2_percentage_mean,report,sleep_architecture
report__n3_duration_mean,report,sleep_architecture
report__n3_latency_aasm_mean,report,sleep_architecture
report__n3_percentage_mean,report,sleep_architecture
report__nr_of_shifts_mean,report,sleep_architecture
report__nrem_duration_mean,report,sleep_architecture
report__nrem_percentage_mean,report,sleep_architecture
report__proportion_off_head_mean,report,other
report__proportion_scorable_and_on_head_mean,report,other
report__quality_index_F7_O1_mean,report,other
report__quality_index_F7_O2_mean,report,other
report__quality_index_F8_F7_mean,report,other
report__quality_index_F8_O1_mean,report,other
report__quality_index_F8_O2_mean,report,other
report__record_duration_mean,report,sleep_architecture
report__record_quality_index_mean,report,other
report__rem_duration_mean,report,sleep_architecture
report__rem_latency_mean,report,sleep_architecture
report__rem_latency_aasm_mean,report,sleep_architecture
report__rem_percentage_mean,report,sleep_architecture
report__respiration_rate_n1_mean,report,sleep_architecture
report__respiration_rate_n2_mean,report,sleep_architecture
report__respiration_rate_n3_mean,report,sleep_architecture
report__respiration_rate_rem_mean,report,sleep_architecture
report__respiration_rate_wake_mean,report,sleep_architecture
report__sleep_efficiency_mean,report,sleep_architecture
report__sol_mean,report,sleep_architecture
report__sol_aasm_mean,report,sleep_architecture
report__tst_mean,report,sleep_architecture
report__wake_duration_mean,report,sleep_architecture
report__waso_mean,report,sleep_architecture
report__waso_aasm_mean,report,sleep_architecture
report__average_respiration_rate_median,report,respiratory_or_oxygen
report__awakenings_median,report,sleep_architecture
report__confidence_awakenings_median,report,sleep_architecture
report__confidence_last_sleep_median,report,other
report__confidence_lps_median,report,sleep_architecture
report__confidence_lrem4_median,report,sleep_architecture
report__confidence_n1_duration_median,report,sleep_architecture
report__confidence_n1_percentage_median,report,sleep_architecture
report__confidence_n2_duration_median,report,sleep_architecture
report__confidence_n2_latency_aasm_median,report,sleep_architecture
report__confidence_n2_percentage_median,report,sleep_architecture
report__confidence_n3_duration_median,report,sleep_architecture
report__confidence_n3_latency_aasm_median,report,sleep_architecture
report__confidence_n3_percentage_median,report,sleep_architecture
report__confidence_nr_of_shifts_median,report,sleep_architecture
report__confidence_nrem_duration_median,report,sleep_architecture
report__confidence_nrem_percentage_median,report,sleep_architecture
report__confidence_rem_duration_median,report,sleep_architecture
report__confidence_rem_latency_median,report,sleep_architecture
report__confidence_rem_latency_aasm_median,report,sleep_architecture
report__confidence_rem_percentage_median,report,sleep_architecture
report__confidence_sleep_efficiency_median,report,sleep_architecture
report__confidence_sleep_onset_median,report,sleep_architecture
report__confidence_sol_median,report,sleep_architecture
report__confidence_sol_aasm_median,report,sleep_architecture
report__confidence_tst_median,report,sleep_architecture
report__confidence_wake_duration_median,report,sleep_architecture
report__confidence_waso_median,report,sleep_architecture
report__confidence_waso_aasm_median,report,sleep_architecture
report__lps_median,report,sleep_architecture
report__lrem4_median,report,sleep_architecture
report__micro_arousal_index_median,report,other
report__n1_duration_median,report,sleep_architecture
report__n1_percentage_median,report,sleep_architecture
report__n2_duration_median,report,sleep_architecture
report__n2_latency_aasm_median,report,sleep_architecture
report__n2_percentage_median,report,sleep_architecture
report__n3_duration_median,report,sleep_architecture
report__n3_latency_aasm_median,report,sleep_architecture
report__n3_percentage_median,report,sleep_architecture
report__nr_of_shifts_median,report,sleep_architecture
report__nrem_duration_median,report,sleep_architecture
report__nrem_percentage_median,report,sleep_architecture
report__proportion_off_head_median,report,other
report__proportion_scorable_and_on_head_median,report,other
report__quality_index_F7_O1_median,report,other
report__quality_index_F7_O2_median,report,other
report__quality_index_F8_F7_median,report,other
report__quality_index_F8_O1_median,report,other
report__quality_index_F8_O2_median,report,other
report__record_duration_median,report,sleep_architecture
report__record_quality_index_median,report,other
report__rem_duration_median,report,sleep_architecture
report__rem_latency_median,report,sleep_architecture
report__rem_latency_aasm_median,report,sleep_architecture
report__rem_percentage_median,report,sleep_architecture
report__respiration_rate_n1_median,report,sleep_architecture
report__respiration_rate_n2_median,report,sleep_architecture
report__respiration_rate_n3_median,report,sleep_architecture
report__respiration_rate_rem_median,report,sleep_architecture
report__respiration_rate_wake_median,report,sleep_architecture
report__sleep_efficiency_median,report,sleep_architecture
report__sol_median,report,sleep_architecture
report__sol_aasm_median,report,sleep_architecture
report__tst_median,report,sleep_architecture
report__wake_duration_median,report,sleep_architecture
report__waso_median,report,sleep_architecture
report__waso_aasm_median,report,sleep_architecture
report__average_respiration_rate_std,report,respiratory_or_oxygen
report__awakenings_std,report,sleep_architecture
report__confidence_awakenings_std,report,sleep_architecture
report__confidence_last_sleep_std,report,other
report__confidence_lps_std,report,sleep_architecture
report__confidence_lrem4_std,report,sleep_architecture
