dataset,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,sensitivity_narcolepsy_mean,sensitivity_narcolepsy_std,specificity_not_positive_mean,specificity_not_positive_std,roc_auc_mean,roc_auc_std
report_only,random_forest,0.7448888888888889,0.12897174598447014,0.679702380952381,0.17436834604908055,0.6586521811521812,0.16424571951614866,0.7476131609131609,0.12443312464970396,0.6810198412698412,0.18338223149326227,0.679702380952381,0.17436834604908055,0.5533333333333333,0.3148623858060293,0.8060714285714287,0.13556507448850735,0.8118452380952381,0.14299537014035496
report_only,gradient_boosting,0.778,0.13176496326018508,0.6722619047619048,0.1752037481656157,0.6679678409825469,0.1830379253973924,0.7686095549330844,0.12950830639580507,0.7019880952380952,0.21972725307135504,0.6722619047619048,0.1752037481656157,0.4766666666666666,0.310456470305659,0.8678571428571428,0.13728187803136438,0.6755654761904762,0.22118499534826142
report_only,logistic_regression,0.7084444444444444,0.12125072566037305,0.6194642857142857,0.16024682989390274,0.6042662631486161,0.15398751411480413,0.7104942010059658,0.11344523407485303,0.6297142857142858,0.18292878505833501,0.6194642857142857,0.16024682989390274,0.45,0.2901442287369986,0.7889285714285714,0.1349241422303711,0.7701190476190476,0.15634649826887828
report_only,linear_svm,0.6924444444444444,0.12898112267909043,0.5961309523809524,0.162787675160852,0.5856862124803301,0.1567928148020957,0.6959905473611356,0.11996719463180826,0.6089682539682539,0.1811247067804868,0.5961309523809524,0.162787675160852,0.41333333333333333,0.2719710535484502,0.7789285714285714,0.13746615576815369,0.7097023809523809,0.17248621988176305
h5_only,logistic_regression,0.7473333333333333,0.1430300540861328,0.6377380952380952,0.20389557136306946,0.6223721131809367,0.21092107520623207,0.7361722301663478,0.14573874205253728,0.6341587301587301,0.2362120597149653,0.6377380952380952,0.20389557136306946,0.43333333333333335,0.37038926633581065,0.8421428571428571,0.13606101174516477,0.7085714285714286,0.22650102077362752
h5_only,random_forest,0.7182222222222222,0.140648893927623,0.6239285714285715,0.18565260244966902,0.6062592750386868,0.1843998577887067,0.7174372713343301,0.13111217126318353,0.615734126984127,0.1966524863439467,0.6239285714285715,0.18565260244966902,0.45,0.3234066120763363,0.7978571428571429,0.15141289318694204,0.7443452380952381,0.2067037212267032
h5_only,linear_svm,0.7308888888888889,0.12409998488487135,0.5856547619047618,0.18084006963233223,0.56757812122518,0.19070428361618202,0.7078474378562614,0.1243156181591289,0.5808333333333333,0.23073314837830033,0.5856547619047618,0.18084006963233223,0.31666666666666665,0.3503318802276705,0.854642857142857,0.13642641535090522,0.6333333333333333,0.22521174625064852
h5_only,gradient_boosting,0.6786666666666666,0.12292807927083803,0.5693452380952381,0.15768852247417647,0.5483172219936926,0.15687485437405685,0.6736443147266676,0.115853307976201,0.5588650793650793,0.18083216671874167,0.5693452380952381,0.15768852247417647,0.36333333333333334,0.30433377666477907,0.7753571428571427,0.14914592685312025,0.6258035714285713,0.20785103351319342
combined_report_h5,random_forest,0.7842222222222222,0.1347821885383626,0.7114880952380952,0.17922560971678017,0.6975736322501028,0.17860062654538605,0.7819778312101842,0.1288593052257546,0.725202380952381,0.20160045915123054,0.7114880952380952,0.17922560971678017,0.5733333333333334,0.3197221015541813,0.849642857142857,0.14453686322637652,0.7963095238095238,0.15744864526029845
combined_report_h5,gradient_boosting,0.7426666666666667,0.14633095640781207,0.6410119047619048,0.17292967636043627,0.6272366457072339,0.1905364365969172,0.7339866340631046,0.14027830496484825,0.6557896825396825,0.2260094265224938,0.6410119047619048,0.17292967636043627,0.44666666666666666,0.3057276365576099,0.8353571428571429,0.17102456341452443,0.7154761904761905,0.18172128815203203
combined_report_h5,logistic_regression,0.7293333333333334,0.13134879873336264,0.6155952380952381,0.19262724902986578,0.6013881706528765,0.19205035713050655,0.7215506212741506,0.13163770634873462,0.6102380952380952,0.21155643444634625,0.6155952380952381,0.19262724902986578,0.4033333333333334,0.34188022196055806,0.8278571428571427,0.11777649860430647,0.7371428571428571,0.1664793998607633
combined_report_h5,linear_svm,0.7273333333333334,0.13373352640477287,0.5992857142857143,0.19495961022277056,0.5891885369532429,0.19955493172550975,0.7159318789054083,0.1367794656464307,0.6038928571428571,0.22640447983757067,0.5992857142857143,0.19495961022277056,0.36,0.34066761185752237,0.8385714285714286,0.11448142862945604,0.657797619047619,0.20514840414426702
