feature,coefficient,importance
h5__eeg3_kurtosis_std_std,-0.12003879701684148,0.12003879701684148
h5__eeg4_delta_sigma_ratio_mean_min,0.10884653397918881,0.10884653397918881
h5__eeg3_kurtosis_std_max,-0.10065745977050503,0.10065745977050503
h5__eeg1_skew_mean_median,-0.094601206229496,0.094601206229496
h5__eeg3_skew_median_std,-0.09439744429208222,0.09439744429208222
h5__eeg4_delta_sigma_ratio_std_min,0.09250365954157834,0.09250365954157834
h5__eeg4_delta_beta_ratio_mean_min,0.09142872302029345,0.09142872302029345
h5__eeg2_theta_alpha_ratio_std_std,0.09063671816417837,0.09063671816417837
report__nr_of_shifts_median,0.08977838036095077,0.08977838036095077
h5__eeg2_theta_alpha_ratio_std_max,0.08692405852892349,0.08692405852892349
report__n2_latency_aasm_median,0.08609498007155528,0.08609498007155528
report__awakenings_median,0.08519569587211939,0.08519569587211939
h5__eeg3_skew_median_max,-0.08437487965270762,0.08437487965270762
h5__eeg4_mean_std_max,-0.08376648740431562,0.08376648740431562
h5__eeg4_mean_std_std,-0.08212280985525458,0.08212280985525458
h5__eeg4_theta_alpha_ratio_mean_min,0.0803302726974964,0.0803302726974964
h5__eeg4_theta_alpha_ratio_std_min,0.0793645516547117,0.0793645516547117
report__lps_mean,-0.07879109561608277,0.07879109561608277
h5__eeg3_mean_median_median,-0.07878795771517948,0.07878795771517948
report__micro_arousal_index_min,0.07608383023327545,0.07608383023327545
h5__eeg3_zero_crossings_std_max,-0.0757616120244057,0.0757616120244057
report__n3_percentage_min,0.07552071509164764,0.07552071509164764
h5__eeg2_skew_median_median,-0.07517257054446695,0.07517257054446695
report__nrem_percentage_median,-0.07407963418077927,0.07407963418077927
report__rem_percentage_median,0.07407963418077898,0.07407963418077898
h5__eeg3_zero_crossings_std_std,-0.07354010575463821,0.07354010575463821
report__n3_latency_aasm_std,-0.07307980277320877,0.07307980277320877
report__n3_latency_aasm_max,-0.07195336788361971,0.07195336788361971
h5__eeg2_skew_mean_mean,-0.07156389798368004,0.07156389798368004
h5__eeg4_sigma_relative_power_mean_min,0.07022438162111547,0.07022438162111547
h5__eeg2_skew_mean_min,-0.06932089591878325,0.06932089591878325
h5__N3_percentage_min,0.06910074012085789,0.06910074012085789
h5__eeg3_std_std_median,-0.068306626288306,0.068306626288306
h5__REM_epochs_min,0.06803629954088995,0.06803629954088995
h5__eeg2_skew_std_max,0.06793092964029268,0.06793092964029268
h5__eeg4_theta_alpha_ratio_std_median,0.06760019817756671,0.06760019817756671
h5__eeg2_skew_mean_median,-0.06629896348423732,0.06629896348423732
h5__eeg4_delta_relative_power_mean_std,-0.066080777104104,0.066080777104104
h5__eeg4_delta_beta_ratio_std_max,0.06606511609879344,0.06606511609879344
report__n2_percentage_median,-0.0657554671458816,0.0657554671458816
report__rem_duration_min,0.06552590591162553,0.06552590591162553
h5__eeg1_skew_median_median,-0.06529488474937371,0.06529488474937371
h5__eeg1_theta_alpha_ratio_std_max,0.06503654706339541,0.06503654706339541
report__n3_latency_aasm_mean,-0.06503178605145711,0.06503178605145711
h5__N2_percentage_mean,-0.06491381985642837,0.06491381985642837
h5__eeg2_skew_median_mean,-0.0648783170847696,0.0648783170847696
h5__eeg3_iqr_median_std,0.06440984558808843,0.06440984558808843
h5__eeg3_skew_std_std,-0.06400021663336795,0.06400021663336795
h5__eeg3_mean_std_max,-0.06383481332047346,0.06383481332047346
report__sol_min,-0.06369738360589047,0.06369738360589047
h5__eeg4_alpha_power_std_std,0.06364844860219981,0.06364844860219981
h5__eeg4_hjorth_complexity_std_min,0.06327933774740362,0.06327933774740362
h5__eeg4_delta_sigma_ratio_std_mean,0.06289004094603477,0.06289004094603477
h5__eeg1_mean_median_median,-0.06256328943071002,0.06256328943071002
report__sol_aasm_min,-0.06256056895057492,0.06256056895057492
h5__eeg1_zero_crossings_std_mean,0.06238853685214997,0.06238853685214997
h5__eeg2_skew_std_std,0.06182927912713225,0.06182927912713225
h5__eeg4_alpha_power_median_min,0.06168162825272512,0.06168162825272512
h5__eeg4_delta_sigma_ratio_std_max,0.061390540678709464,0.061390540678709464
h5__eeg1_mean_median_max,-0.06121307568966851,0.06121307568966851
h5__eeg4_delta_beta_ratio_median_median,0.061150065216168246,0.061150065216168246
h5__eeg3_beta_relative_power_std_max,-0.06112278799451226,0.06112278799451226
h5__eeg3_delta_sigma_ratio_mean_max,0.06015951029833817,0.06015951029833817
h5__eeg1_theta_alpha_ratio_std_std,0.06002183433146484,0.06002183433146484
h5__eeg1_delta_beta_ratio_std_mean,0.059506902226850934,0.059506902226850934
h5__eeg1_hjorth_complexity_std_std,-0.05929748044989823,0.05929748044989823
h5__eeg4_iqr_mean_min,0.0589981958665299,0.0589981958665299
h5__eeg4_theta_relative_power_std_max,0.0589514487706824,0.0589514487706824
h5__eeg2_mean_mean_median,-0.058855075822772634,0.058855075822772634
h5__eeg4_sigma_power_median_min,0.058690256560948936,0.058690256560948936
h5__eeg3_alpha_power_median_min,-0.058678584039809266,0.058678584039809266
h5__eeg2_sigma_relative_power_std_std,0.058306359467150036,0.058306359467150036
h5__eeg1_theta_alpha_ratio_std_mean,0.058259284275440526,0.058259284275440526
h5__eeg4_alpha_power_std_max,0.0577400976679371,0.0577400976679371
h5__eeg4_delta_sigma_ratio_std_std,0.057678814219091636,0.057678814219091636
h5__eeg4_theta_relative_power_median_std,-0.05755334228410106,0.05755334228410106
h5__eeg3_skew_mean_std,-0.05748110124945636,0.05748110124945636
report__nr_of_shifts_mean,0.057463276776259994,0.057463276776259994
h5__eeg4_delta_beta_ratio_std_mean,0.057437557559949004,0.057437557559949004
h5__eeg4_delta_relative_power_median_std,-0.05738755448065167,0.05738755448065167
h5__eeg3_delta_power_std_min,-0.05700661103000045,0.05700661103000045
h5__eeg3_iqr_mean_min,-0.05699063521083561,0.05699063521083561
report__lps_std,-0.05681921697911771,0.05681921697911771
h5__eeg4_delta_beta_ratio_std_std,0.05680685178583787,0.05680685178583787
h5__eeg2_theta_relative_power_std_min,0.05671782391766164,0.05671782391766164
h5__eeg4_theta_relative_power_mean_std,-0.05659115818169429,0.05659115818169429
report__sol_mean,-0.056473617046653414,0.056473617046653414
h5__eeg2_delta_relative_power_std_mean,0.05617442726555358,0.05617442726555358
report__lps_max,-0.05614635106615937,0.05614635106615937
h5__eeg4_mean_median_median,0.056119039189143946,0.056119039189143946
h5__eeg4_delta_beta_ratio_std_min,0.05608603389552701,0.05608603389552701
h5__eeg1_mean_median_mean,-0.05601659737729137,0.05601659737729137
h5__REM_percentage_median,0.05597993699052706,0.05597993699052706
h5__eeg3_delta_sigma_ratio_mean_std,0.05594505202361897,0.05594505202361897
report__sol_median,-0.05589207392117987,0.05589207392117987
h5__eeg3_total_power_0p5_30_std_min,-0.05582690421634158,0.05582690421634158
h5__N2_epochs_std,-0.05578805174753357,0.05578805174753357
report__n2_percentage_mean,-0.055696263891137784,0.055696263891137784
h5__eeg2_skew_median_min,-0.05569399696850762,0.05569399696850762
h5__eeg2_sigma_relative_power_mean_max,0.05551594708311508,0.05551594708311508
report__n2_duration_std,-0.05482600019632744,0.05482600019632744
