feature_set,model,features_used,balanced_accuracy,macro_f1,roc_auc,sensitivity,specificity,tn,fp,fn,tp
combined_h5_report_artifacts_removed,logistic_regression,1520,0.6300505050505051,0.6258420085731782,0.6856060606060607,0.45454545454545453,0.8055555555555556,29,7,6,5
combined_h5_report_artifacts_removed,gradient_boosting,1520,0.5984848484848485,0.6014350945857795,0.7676767676767676,0.36363636363636365,0.8333333333333334,30,6,7,4
combined_h5_report_artifacts_removed,random_forest,1520,0.577020202020202,0.5803571428571428,0.6313131313131313,0.18181818181818182,0.9722222222222222,35,1,9,2
combined_h5_report_sleep_clean,logistic_regression,1515,0.6300505050505051,0.6258420085731782,0.6856060606060607,0.45454545454545453,0.8055555555555556,29,7,6,5
combined_h5_report_sleep_clean,random_forest,1515,0.5909090909090909,0.5982905982905983,0.6262626262626263,0.18181818181818182,1.0,36,0,9,2
combined_h5_report_sleep_clean,gradient_boosting,1515,0.5669191919191919,0.5712280701754386,0.7563131313131313,0.2727272727272727,0.8611111111111112,31,5,8,3
full_combined_no_demographics,logistic_regression,1730,0.6755050505050505,0.6642857142857144,0.731060606060606,0.5454545454545454,0.8055555555555556,29,7,5,6
full_combined_no_demographics,gradient_boosting,1730,0.6300505050505051,0.6258420085731782,0.6843434343434344,0.45454545454545453,0.8055555555555556,29,7,6,5
full_combined_no_demographics,random_forest,1730,0.577020202020202,0.5803571428571428,0.7247474747474747,0.18181818181818182,0.9722222222222222,35,1,9,2
h5_only,logistic_regression,1390,0.5845959595959596,0.5845959595959596,0.6325757575757576,0.36363636363636365,0.8055555555555556,29,7,7,4
h5_only,gradient_boosting,1390,0.5808080808080808,0.587719298245614,0.7765151515151515,0.2727272727272727,0.8888888888888888,32,4,8,3
h5_only,random_forest,1390,0.5176767676767676,0.49642857142857144,0.5858585858585859,0.09090909090909091,0.9444444444444444,34,2,10,1
report_sleep_architecture_clean,logistic_regression,125,0.7525252525252526,0.7142067440574903,0.7651515151515151,0.7272727272727273,0.7777777777777778,28,8,3,8
report_sleep_architecture_clean,random_forest,125,0.6224747474747474,0.6430379746835443,0.7247474747474747,0.2727272727272727,0.9722222222222222,35,1,8,3
report_sleep_architecture_clean,gradient_boosting,125,0.46590909090909094,0.46590909090909094,0.4545454545454546,0.18181818181818182,0.75,27,9,9,2
