feature,importance_mean,importance_std,candidate_selection
h5__eeg3_kurtosis_std_std,0.0,0.0,top_150_by_clean_model_importance
report__sol_median,0.0,0.0,top_150_by_clean_model_importance
h5__N2_epochs_std,0.0,0.0,top_150_by_clean_model_importance
report__n2_percentage_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_median_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_sigma_relative_power_mean_max,0.0,0.0,top_150_by_clean_model_importance
report__n2_duration_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_hjorth_complexity_mean_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_std_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_sigma_relative_power_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_relative_power_std_mean,0.0,0.0,top_150_by_clean_model_importance
report__sleep_efficiency_min,0.0,0.0,top_150_by_clean_model_importance
report__nr_of_shifts_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_delta_sigma_ratio_mean_median,0.0,0.0,top_150_by_clean_model_importance
report__waso_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_delta_beta_ratio_std_max,0.0,0.0,top_150_by_clean_model_importance
report__awakenings_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_total_power_0p5_30_std_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_delta_sigma_ratio_mean_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_theta_alpha_ratio_mean_max,0.0,0.0,top_150_by_clean_model_importance
h5__REM_percentage_median,0.0,0.0,top_150_by_clean_model_importance
report__nr_of_shifts_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_beta_ratio_std_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_relative_power_median_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_delta_power_std_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_iqr_mean_min,0.0,0.0,top_150_by_clean_model_importance
report__lps_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_beta_ratio_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_theta_relative_power_std_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_relative_power_mean_std,0.0,0.0,top_150_by_clean_model_importance
report__sol_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_delta_relative_power_std_mean,0.0,0.0,top_150_by_clean_model_importance
report__lps_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_mean_median_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_beta_ratio_std_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_mean_median_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_sigma_relative_power_std_min,0.0,0.0,top_150_by_clean_model_importance
report__sol_aasm_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_sigma_ratio_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_theta_relative_power_std_max,0.0,0.0,top_150_by_clean_model_importance
report__rem_latency_aasm_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_std_mean_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_theta_alpha_ratio_std_min,0.0,0.0,top_150_by_clean_model_importance
report__sol_aasm_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_std_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_delta_beta_ratio_std_std,0.0,0.0,top_150_by_clean_model_importance
report__tst_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_alpha_relative_power_mean_min,0.0,0.0,top_150_by_clean_model_importance
report__micro_arousal_index_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_theta_alpha_ratio_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_relative_power_mean_max,0.0,0.0,top_150_by_clean_model_importance
h5__n_epochs_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_skew_mean_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_sigma_ratio_std_median,0.0,0.0,top_150_by_clean_model_importance
h5__wake_epochs_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_power_median_min,0.0,0.0,top_150_by_clean_model_importance
report__lps_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_beta_relative_power_mean_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_power_std_std,0.0,0.0,top_150_by_clean_model_importance
report__rem_duration_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_theta_alpha_ratio_median_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_delta_sigma_ratio_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__sleep_efficiency_epoch_ratio_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_theta_relative_power_std_mean,0.0,0.0,top_150_by_clean_model_importance
report__lps_min,0.0,0.0,top_150_by_clean_model_importance
report__n2_duration_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_relative_power_std_median,0.0,0.0,top_150_by_clean_model_importance
report__awakenings_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_delta_power_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_kurtosis_median_std,0.0,0.0,top_150_by_clean_model_importance
report__waso_aasm_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_alpha_ratio_std_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_kurtosis_median_max,0.0,0.0,top_150_by_clean_model_importance
h5__N2_epochs_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_skew_mean_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_relative_power_median_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_sigma_ratio_std_std,0.0,0.0,top_150_by_clean_model_importance
report__micro_arousal_index_min,0.0,0.0,top_150_by_clean_model_importance
report__n3_percentage_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_median_median,0.0,0.0,top_150_by_clean_model_importance
report__nrem_percentage_median,0.0,0.0,top_150_by_clean_model_importance
report__rem_percentage_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_zero_crossings_std_std,0.0,0.0,top_150_by_clean_model_importance
report__n3_latency_aasm_std,0.0,0.0,top_150_by_clean_model_importance
report__n3_latency_aasm_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_mean_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_sigma_relative_power_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__N3_percentage_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_std_std_median,0.0,0.0,top_150_by_clean_model_importance
h5__REM_epochs_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_alpha_ratio_std_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_zero_crossings_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_mean_median_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_alpha_power_std_max,0.0,0.0,top_150_by_clean_model_importance
report__lps_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_kurtosis_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_skew_mean_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_skew_median_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_sigma_ratio_std_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_beta_ratio_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_theta_alpha_ratio_std_std,0.0,0.0,top_150_by_clean_model_importance
report__nr_of_shifts_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_theta_alpha_ratio_std_max,0.0,0.0,top_150_by_clean_model_importance
report__n2_latency_aasm_median,0.0,0.0,top_150_by_clean_model_importance
report__awakenings_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_skew_median_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_mean_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_mean_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_alpha_ratio_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_alpha_ratio_std_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_mean_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_relative_power_mean_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_beta_ratio_std_max,0.0,0.0,top_150_by_clean_model_importance
report__n2_percentage_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_sigma_ratio_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_mean_median_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_beta_ratio_median_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_beta_relative_power_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_delta_sigma_ratio_mean_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_theta_alpha_ratio_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_delta_beta_ratio_std_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_hjorth_complexity_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_iqr_mean_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_theta_relative_power_std_max,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_mean_mean_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_sigma_power_median_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_alpha_power_median_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_sigma_relative_power_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_theta_alpha_ratio_std_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_alpha_power_median_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_zero_crossings_std_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_iqr_median_std,0.0,0.0,top_150_by_clean_model_importance
report__rem_duration_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_skew_median_median,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_theta_alpha_ratio_std_max,0.0,0.0,top_150_by_clean_model_importance
report__n3_latency_aasm_mean,0.0,0.0,top_150_by_clean_model_importance
h5__N2_percentage_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg2_skew_median_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_skew_std_std,0.0,0.0,top_150_by_clean_model_importance
report__sol_aasm_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg3_mean_std_max,0.0,0.0,top_150_by_clean_model_importance
report__sol_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_alpha_power_std_std,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_hjorth_complexity_std_min,0.0,0.0,top_150_by_clean_model_importance
h5__eeg4_delta_sigma_ratio_std_mean,0.0,0.0,top_150_by_clean_model_importance
h5__eeg1_mean_median_median,0.0,0.0,top_150_by_clean_model_importance
h5__Wake_epochs_std,0.0,0.0,top_150_by_clean_model_importance
