feature,importance
report__confidence_n1_percentage_max,0.01479837041862617
h5__eeg4_theta_alpha_ratio_std_median,0.011014117311500064
report__confidence_nr_of_shifts_mean,0.010868206485251579
report__waso_median,0.009859095916744698
report__lps_mean,0.008258012872541404
report__sol_mean,0.007739882937241248
report__confidence_n1_percentage_mean,0.007400785803927683
report__confidence_nr_of_shifts_max,0.0070182225928081925
h5__eeg4_theta_alpha_ratio_std_mean,0.006592472810597842
h5__eeg4_delta_beta_ratio_std_max,0.0065093498235127565
report__confidence_waso_aasm_median,0.006105255396174407
h5__eeg4_delta_beta_ratio_mean_min,0.00604769108475716
report__confidence_nrem_duration_median,0.005963482644186396
report__confidence_sleep_efficiency_mean,0.005894681412350707
report__confidence_wake_duration_median,0.005294846254297988
report__n2_percentage_max,0.0052474918750705455
report__confidence_sleep_efficiency_min,0.00513193055859084
report__nrem_percentage_median,0.005119586044233722
h5__eeg3_skew_mean_std,0.00509039074938969
report__waso_aasm_median,0.005045145637662674
h5__eeg4_delta_sigma_ratio_std_mean,0.005044936957342766
report__confidence_nrem_percentage_max,0.0049355961692752436
report__confidence_rem_percentage_max,0.004780705885047618
report__sleep_efficiency_std,0.004719183851450534
report__sol_max,0.004646956273230899
report__confidence_wake_duration_mean,0.004622275353423276
h5__eeg1_delta_beta_ratio_mean_mean,0.004611856823652706
h5__N2_percentage_max,0.004461290511849194
report__confidence_nr_of_shifts_std,0.004440659667395332
h5__eeg4_theta_alpha_ratio_mean_mean,0.004439525760571051
report__confidence_lps_median,0.004364486841377285
report__sol_aasm_mean,0.004288998047573264
h5__eeg1_beta_power_median_min,0.004137290597082477
h5__N2_epochs_median,0.004111729829619848
report__confidence_n1_percentage_median,0.004068319303552014
report__confidence_n1_duration_max,0.004048236674620359
h5__eeg4_delta_power_median_min,0.003979820101443452
report__confidence_tst_median,0.003966447088743794
h5__eeg1_delta_power_mean_median,0.003960736933234842
report__sol_std,0.003913090638176779
h5__eeg2_delta_sigma_ratio_mean_median,0.003912169160851481
h5__eeg4_hjorth_complexity_mean_min,0.003701761942302405
h5__REM_percentage_std,0.0036840457266856534
h5__eeg1_delta_sigma_ratio_mean_min,0.00363586166533862
h5__eeg4_iqr_std_min,0.0036274939324465755
h5__eeg2_theta_alpha_ratio_std_max,0.0036210950491511336
h5__eeg4_delta_sigma_ratio_std_max,0.0036148430800863316
report__confidence_wake_duration_max,0.0036072526103690557
h5__eeg1_delta_sigma_ratio_std_mean,0.0035416824778030298
report__confidence_n3_latency_aasm_std,0.0035251807243351124
report__n2_latency_aasm_max,0.0035231505341611047
report__confidence_awakenings_min,0.0034990729443727187
report__confidence_n1_duration_median,0.00343030303283127
h5__eeg2_delta_sigma_ratio_mean_min,0.003419784495066885
h5__eeg2_beta_power_median_min,0.003399271740229922
h5__eeg4_delta_beta_ratio_std_min,0.0033988803879450324
report__confidence_nrem_percentage_mean,0.0033897243107769413
h5__eeg4_alpha_power_mean_max,0.0033883405286094003
h5__eeg4_theta_alpha_ratio_mean_min,0.0033603431247704917
report__confidence_sleep_efficiency_max,0.003354699966050387
report__quality_index_F8_O2_median,0.003338787826941802
report__confidence_nrem_duration_mean,0.003314557117419373
report__lps_max,0.0032972850180619357
report__confidence_rem_duration_max,0.003284815444376739
h5__eeg3_kurtosis_mean_std,0.003279061801156791
h5__eeg1_theta_alpha_ratio_std_min,0.0032544858080893416
h5__eeg2_delta_beta_ratio_mean_min,0.003252322747221055
report__confidence_n2_percentage_max,0.0032516680293917894
h5__eeg2_theta_alpha_ratio_mean_median,0.0032144764458132886
report__confidence_n3_percentage_mean,0.003204542313753866
report__awakenings_median,0.003190962442461087
report__micro_arousal_index_max,0.00318609422443013
h5__eeg4_delta_sigma_ratio_mean_median,0.0031814428866177844
report__confidence_waso_max,0.0031510041603008275
report__sol_aasm_std,0.0030732123439909474
h5__eeg2_total_power_0p5_30_mean_min,0.0030720801594111037
h5__eeg1_iqr_mean_median,0.0030516517465367025
h5__eeg2_theta_power_median_median,0.0030292125902698264
report__n1_duration_median,0.0030235556161759248
report__n2_percentage_median,0.003018636215488651
