feature,narcolepsy_mean,other_hypersomnia_mean,absolute_standardised_difference,importance
report__confidence_n1_percentage_max,55.03648305599647,87.16863072386455,1.3729677144970196,0.01479837041862617
report__confidence_nr_of_shifts_mean,2.865702479338843,16.818237397523113,1.0415148751828958,0.010868206485251579
report__confidence_n1_percentage_mean,31.393845814584918,61.71386923723605,1.282312091306006,0.007400785803927683
report__confidence_nr_of_shifts_max,19.181818181818183,47.885714285714286,0.9057008589574526,0.0070182225928081925
report__confidence_waso_aasm_median,43.146274174599085,77.69815639625945,1.2102808986904314,0.006105255396174407
report__confidence_nrem_duration_median,55.42524085369269,80.21702709100153,1.1565577319822045,0.005963482644186396
report__confidence_sleep_efficiency_mean,59.7099371216761,87.70012282661699,1.4400409069721554,0.005894681412350707
report__confidence_wake_duration_median,53.42590555955114,82.19642381092984,1.1835705621761754,0.005294846254297988
report__confidence_sleep_efficiency_min,23.256175361587783,60.06810093138755,1.0374773621927709,0.00513193055859084
report__confidence_nrem_percentage_max,71.88818253966026,91.74560788366199,1.1680312997160802,0.0049355961692752436
report__confidence_rem_percentage_max,71.88818253966026,91.74560788366199,1.1680312997160802,0.004780705885047618
report__confidence_wake_duration_mean,49.817204145346835,75.45725048350783,1.2195788751221008,0.004622275353423276
report__confidence_nr_of_shifts_std,7.615016031153118,18.232262674570165,0.9636735050223626,0.004440659667395332
report__confidence_lps_median,81.01606789636209,92.1688955126994,0.8351489930848962,0.004364486841377285
report__confidence_n1_percentage_median,30.24880543750754,68.76657993063023,1.309375778760134,0.004068319303552014
report__confidence_n1_duration_max,70.49292618377108,88.39355042878401,0.7887003500159544,0.004048236674620359
report__confidence_tst_median,53.42590555955114,82.19642381092984,1.1835705621761752,0.003966447088743794
report__confidence_wake_duration_max,80.93695014324281,94.26950278256102,0.7641788169408711,0.0036072526103690557
report__confidence_n3_latency_aasm_std,16.48360792452754,32.332154915265455,0.9291050184886606,0.0035251807243351124
report__confidence_awakenings_min,18.742474907752765,36.731511910531395,0.7225942178936856,0.0034990729443727187
report__confidence_n1_duration_median,32.9390810128268,67.54199001378015,1.2019747211325214,0.00343030303283127
report__confidence_nrem_percentage_mean,49.31257404276642,75.57244073060163,1.2831239107477268,0.0033897243107769413
report__confidence_sleep_efficiency_max,84.3693022054785,97.37257021491952,0.8372562212521267,0.003354699966050387
report__quality_index_F8_O2_median,44.08248561246176,57.4393085100731,0.674263049396887,0.003338787826941802
report__confidence_nrem_duration_mean,50.436452158549336,73.73569103055517,1.144229500892248,0.003314557117419373
report__confidence_rem_duration_max,79.89999486655812,92.57474352685868,0.7355088315684424,0.003284815444376739
report__confidence_n2_percentage_max,74.56512467423762,93.3899521385822,1.0990795797024606,0.0032516680293917894
report__confidence_n3_percentage_mean,52.31508672699053,76.51223455312802,1.1892614273140787,0.003204542313753866
report__confidence_waso_max,82.62152178886646,94.47937279338771,0.6700542531565927,0.0031510041603008275
report__confidence_nrem_percentage_median,53.02913675424349,81.3783343854501,1.2762427374590926,0.003006449337550805
report__confidence_n1_duration_mean,34.85228787008696,61.79634609574987,1.1274519232066182,0.002969229536063429
report__confidence_tst_mean,49.817204145346835,75.45725048350783,1.2195788751221008,0.00271751273583495
report__confidence_waso_aasm_max,82.53015567240108,94.19559659648465,0.6619899244763928,0.0026927572907240916
report__confidence_waso_median,43.23278069280547,79.08510968193393,1.2452954402818968,0.0026877598930334194
report__confidence_waso_mean,47.96175814280891,67.53973613333801,0.9959717663026232,0.002649888565843206
report__confidence_awakenings_median,41.82260421728706,65.61217101326926,1.104136806498263,0.002586442765803032
