feature,importance,coefficient
n1_percentage_std,0.4955097179022208,0.4955097179022208
rem_latency_min,0.47616006150156076,-0.47616006150156076
sol_min,0.4426626981810554,-0.4426626981810554
waso_min,0.40010359836047144,0.40010359836047144
rem_latency_std,0.39859471088391407,0.39859471088391407
sol_std,0.39683790665361224,0.39683790665361224
n1_duration_median,0.3869723869983366,0.3869723869983366
sleep_efficiency_median,0.37565325581692854,0.37565325581692854
n3_duration_std,0.36216979396237237,0.36216979396237237
sleep_efficiency_max,0.3445067494244906,-0.3445067494244906
n1_percentage_mean,0.3076044632593077,0.3076044632593077
sol_max,0.28999722582199,0.28999722582199
sleep_efficiency_std,0.2748711479350912,0.2748711479350912
n1_percentage_median,0.2716368167738093,0.2716368167738093
sol_median,0.2668672049056852,-0.2668672049056852
nrem_duration_std,0.26503633367239027,0.26503633367239027
tst_mean,0.24951635028208477,-0.24951635028208477
rem_latency_mean,0.24554190293421357,-0.24554190293421357
lps_mean,0.2211988172180352,-0.2211988172180352
n3_percentage_min,0.21403493220433353,0.21403493220433353
sol_mean,0.19269494458562156,-0.19269494458562156
rem_percentage_min,0.18786084772156625,0.18786084772156625
nrem_percentage_max,0.18786084772156514,-0.18786084772156514
n1_percentage_min,0.18138819547790055,0.18138819547790055
nrem_percentage_min,0.17725637884832954,0.17725637884832954
rem_percentage_max,0.17725637884832945,-0.17725637884832945
rem_duration_mean,0.17571324331444366,-0.17571324331444366
n1_duration_max,0.16604228231352572,-0.16604228231352572
lps_median,0.16395038814914106,-0.16395038814914106
rem_percentage_median,0.15015344313668785,0.15015344313668785
nrem_percentage_median,0.1501534431366863,-0.1501534431366863
tst_max,0.14016753608717472,-0.14016753608717472
sleep_efficiency_mean,0.13629271696895442,-0.13629271696895442
n3_duration_median,0.13233449432113364,-0.13233449432113364
rem_duration_median,0.1306973220678866,-0.1306973220678866
n1_percentage_max,0.1304733757804267,0.1304733757804267
n3_percentage_max,0.12843132021148201,-0.12843132021148201
rem_duration_max,0.12277394425390713,-0.12277394425390713
rem_latency_max,0.12088741562502216,-0.12088741562502216
n2_percentage_max,0.12076906240808567,-0.12076906240808567
n1_duration_mean,0.11624988773964604,0.11624988773964604
nrem_duration_median,0.11054848484767299,0.11054848484767299
waso_mean,0.10453549912266838,0.10453549912266838
lps_min,0.10325394112884821,0.10325394112884821
waso_max,0.09479327857731285,0.09479327857731285
rem_latency_median,0.09243042851460888,-0.09243042851460888
nrem_duration_mean,0.0886282370629485,-0.0886282370629485
tst_median,0.08844083674376046,-0.08844083674376046
n2_percentage_mean,0.08809685732932654,-0.08809685732932654
n3_duration_mean,0.08749411921279458,-0.08749411921279458
nrem_duration_max,0.08699124177395368,-0.08699124177395368
tst_min,0.0864751753477531,-0.0864751753477531
n3_percentage_mean,0.08442150344076993,-0.08442150344076993
n2_duration_max,0.08245126265458165,-0.08245126265458165
tst_std,0.08092976148325594,0.08092976148325594
n2_duration_mean,0.07630278471771461,-0.07630278471771461
waso_std,0.0746608246617059,0.0746608246617059
n2_duration_std,0.07413487860278906,0.07413487860278906
sleep_efficiency_min,0.07392645679122826,0.07392645679122826
n1_duration_min,0.07202400019304381,0.07202400019304381
n3_percentage_median,0.0707737840370092,-0.0707737840370092
nrem_percentage_mean,0.06998032801091318,-0.06998032801091318
rem_percentage_mean,0.06998032801091168,0.06998032801091168
n2_percentage_median,0.06185676793530066,-0.06185676793530066
nrem_percentage_std,0.06185280909367743,-0.06185280909367743
rem_percentage_std,0.061852809093677415,-0.061852809093677415
n3_duration_max,0.06177115668605423,0.06177115668605423
lps_std,0.057739639945187764,0.057739639945187764
n3_duration_min,0.05666784586357692,-0.05666784586357692
n2_percentage_min,0.05235345406820444,0.05235345406820444
n1_duration_std,0.05078087031698253,0.05078087031698253
n3_percentage_std,0.04989787327573461,-0.04989787327573461
n2_duration_min,0.049883754475214086,0.049883754475214086
n2_duration_median,0.03644534377564591,0.03644534377564591
n2_percentage_std,0.034245050444700886,-0.034245050444700886
waso_median,0.028143061522836233,-0.028143061522836233
nrem_duration_min,0.02369589746250162,0.02369589746250162
rem_duration_min,0.021994274357834156,-0.021994274357834156
lps_max,0.02040600025103123,0.02040600025103123
rem_duration_std,0.011413300876337521,-0.011413300876337521
