feature,importance_mean,importance_std
sol_min,0.0074019138755981075,0.0054206345358353055
sleep_efficiency_median,0.005837320574162692,0.00821407224263155
n1_percentage_std,0.004157894736842118,0.0037435077688596496
waso_min,0.0034736842105263267,0.002493204059437273
sol_std,0.002526315789473692,0.0032851550598583757
rem_latency_std,0.0022105263157894805,0.0029939921375427237
sleep_efficiency_max,0.001789473684210532,0.002903813520870266
n1_duration_median,0.0014736842105263204,0.002477600483355759
n3_duration_std,0.0012105263157894774,0.002336628724255071
sol_max,0.0011052631578947402,0.0023882213272712555
sleep_efficiency_std,0.001000000000000003,0.0023175830375056915
rem_latency_min,0.000631578947368423,0.0017103238746602075
n1_percentage_mean,0.0005263157894736858,0.001578947368421058
n1_percentage_median,0.0004736842105263173,0.0015062197917109716
nrem_duration_std,0.0004210526315789487,0.0014278589438158503
rem_percentage_min,0.0003684210526315801,0.0013428790339129592
nrem_percentage_median,0.0003684210526315801,0.0013428790339129592
rem_percentage_median,0.0003684210526315801,0.0013428790339129592
nrem_percentage_max,0.0003684210526315801,0.0013428790339129592
sleep_efficiency_mean,0.0002631578947368429,0.0011470786693528123
waso_mean,0.0002631578947368429,0.0011470786693528127
tst_mean,0.0002631578947368429,0.0011470786693528125
rem_latency_mean,0.00021052631578947435,0.0010313641022244992
lps_min,0.00021052631578947435,0.001031364102224499
waso_max,0.00021052631578947435,0.0010313641022244992
n1_duration_max,0.00015789473684210575,0.000897827479433265
n3_percentage_max,0.00015789473684210575,0.000897827479433265
n1_percentage_max,0.00015789473684210575,0.000897827479433265
n2_percentage_mean,0.00010526315789473717,0.0007368421052631601
nrem_duration_max,0.00010526315789473717,0.0007368421052631601
rem_percentage_mean,0.00010526315789473717,0.0007368421052631601
n1_duration_mean,0.00010526315789473717,0.0007368421052631601
nrem_percentage_mean,0.00010526315789473717,0.0007368421052631601
n1_percentage_min,0.00010526315789473717,0.0007368421052631601
nrem_duration_mean,0.00010526315789473717,0.0007368421052631601
n3_percentage_min,0.00010526315789473717,0.0007368421052631601
n3_duration_median,0.00010526315789473717,0.0007368421052631601
n2_percentage_max,0.00010526315789473717,0.0007368421052631601
tst_std,0.0,0.0
sol_median,0.0,0.0
rem_percentage_std,0.0,0.0
tst_min,0.0,0.0
sleep_efficiency_min,0.0,0.0
tst_median,0.0,0.0
tst_max,0.0,0.0
rem_percentage_max,0.0,0.0
waso_median,0.0,0.0
rem_latency_max,0.0,0.0
rem_latency_median,0.0,0.0
sol_mean,0.0,0.0
lps_max,0.0,0.0
rem_duration_std,0.0,0.0
n3_duration_max,0.0,0.0
lps_median,0.0,0.0
lps_std,0.0,0.0
n1_duration_min,0.0,0.0
n1_duration_std,0.0,0.0
n2_duration_max,0.0,0.0
n2_duration_mean,0.0,0.0
n2_duration_median,0.0,0.0
n2_duration_min,0.0,0.0
n2_duration_std,0.0,0.0
n2_percentage_median,0.0,0.0
n2_percentage_min,0.0,0.0
n2_percentage_std,0.0,0.0
n3_duration_mean,0.0,0.0
rem_duration_min,0.0,0.0
n3_duration_min,0.0,0.0
n3_percentage_mean,0.0,0.0
n3_percentage_median,0.0,0.0
n3_percentage_std,0.0,0.0
nrem_duration_median,0.0,0.0
nrem_duration_min,0.0,0.0
lps_mean,0.0,0.0
nrem_percentage_min,0.0,0.0
nrem_percentage_std,0.0,0.0
rem_duration_max,0.0,0.0
rem_duration_mean,0.0,0.0
rem_duration_median,0.0,0.0
waso_std,0.0,0.0
