feature_set,model,features_used,balanced_accuracy,macro_f1,roc_auc,sensitivity,specificity,tn,fp,fn,tp
artifact_removed_report_features,logistic_regression,80,0.8933014354066986,0.8780768345985737,0.9779904306220095,0.8181818181818182,0.968421052631579,92,3,2,9
artifact_removed_report_features,gradient_boosting,80,0.6607655502392344,0.6820289064630488,0.7454545454545455,0.36363636363636365,0.9578947368421052,91,4,7,4
artifact_removed_report_features,random_forest,80,0.6363636363636364,0.6940836940836941,0.9607655502392344,0.2727272727272727,1.0,95,0,8,3
clean_sleep_architecture_features,logistic_regression,80,0.8933014354066986,0.8780768345985737,0.9779904306220095,0.8181818181818182,0.968421052631579,92,3,2,9
clean_sleep_architecture_features,gradient_boosting,80,0.6607655502392344,0.6820289064630488,0.7454545454545455,0.36363636363636365,0.9578947368421052,91,4,7,4
clean_sleep_architecture_features,random_forest,80,0.6363636363636364,0.6940836940836941,0.9607655502392344,0.2727272727272727,1.0,95,0,8,3
conservative_sleep_architecture_core,logistic_regression,80,0.8933014354066986,0.8780768345985737,0.9779904306220095,0.8181818181818182,0.968421052631579,92,3,2,9
conservative_sleep_architecture_core,gradient_boosting,80,0.6607655502392344,0.6820289064630488,0.7454545454545455,0.36363636363636365,0.9578947368421052,91,4,7,4
conservative_sleep_architecture_core,random_forest,80,0.6363636363636364,0.6940836940836941,0.9607655502392344,0.2727272727272727,1.0,95,0,8,3
original_common_report_features,logistic_regression,190,1.0,1.0,1.0,1.0,1.0,95,0,0,11
original_common_report_features,gradient_boosting,190,1.0,1.0,1.0,1.0,1.0,95,0,0,11
original_common_report_features,random_forest,190,0.9090909090909092,0.9447916666666667,1.0,0.8181818181818182,1.0,95,0,2,9
