feature,importance
record_quality_index_min,0.09159060765926505
record_quality_index_max,0.08950633615494792
record_quality_index_mean,0.08919959115678658
record_quality_index_median,0.06291899856415607
record_quality_index_std,0.06120678184015669
n1_duration_median,0.03627870889818009
rem_latency_min,0.024152911964014732
waso_mean,0.023835934609476497
sleep_efficiency_mean,0.02190832695680416
n3_duration_median,0.020644907507010802
rem_latency_mean,0.02061423077939664
n1_percentage_min,0.016687972313683144
sleep_efficiency_min,0.015826446553913687
waso_median,0.015262282750896507
n1_percentage_max,0.013806599327537927
rem_latency_max,0.013585167555019569
n1_percentage_mean,0.013486872362145656
sleep_efficiency_std,0.013378236396407402
n1_percentage_std,0.013311345868616533
rem_percentage_median,0.012508055208605241
rem_latency_median,0.012031010239543536
n1_percentage_median,0.01198106340714905
n3_duration_mean,0.011842137936649271
waso_std,0.011545195995770433
n1_duration_std,0.011064011120094504
sol_std,0.010054653061048002
n3_percentage_median,0.009208933578345724
confidence_rem_latency_median,0.009021415612676335
nrem_percentage_median,0.008929187642881893
record_duration_std,0.008866101915349688
nrem_percentage_max,0.008454705271804409
n2_percentage_max,0.006963214805640123
n3_duration_max,0.006818046870385242
rem_percentage_min,0.006673376648220137
n1_duration_mean,0.006505592869733227
record_duration_min,0.006221575740759456
nrem_duration_mean,0.006093398652649336
confidence_n1_percentage_max,0.0055042865633059615
tst_min,0.004987556030401793
confidence_rem_latency_mean,0.0045977015121724495
n3_percentage_mean,0.004231841495617961
n3_duration_min,0.004100070439286284
confidence_rem_latency_min,0.004058845817933779
n2_duration_mean,0.003874198066754592
record_duration_max,0.0038352612494661487
n1_duration_min,0.0038203110279575337
average_respiration_rate_std,0.003778521091822737
sleep_efficiency_max,0.0037217178314214484
nrem_duration_min,0.003591136419141964
waso_max,0.0033889884874563625
n3_percentage_max,0.003361900969264955
average_respiration_rate_min,0.00326574291866429
n2_percentage_median,0.003156762894875378
nrem_duration_median,0.0030213630280711934
tst_mean,0.0029252895613507968
sol_min,0.0026953557715419167
n2_percentage_std,0.002678842935685331
nrem_percentage_mean,0.002628419882001373
confidence_nrem_percentage_max,0.002526840898461347
waso_min,0.0025205979168673393
lps_max,0.0023213558082110647
n2_duration_max,0.00229236079865561
lps_std,0.002247254191970129
n2_duration_median,0.0021168345798108397
confidence_n3_duration_median,0.0021008396743641775
sol_max,0.0018586057973047866
lps_mean,0.001808011645899049
n1_duration_max,0.0017747348307106858
confidence_lps_mean,0.0017376742080002377
rem_duration_min,0.0017300826571030475
nrem_duration_max,0.0016187940521602757
rem_percentage_mean,0.0015327687954049551
average_respiration_rate_median,0.0015181713153079898
confidence_n2_duration_max,0.0014097041975398268
confidence_rem_duration_max,0.0014026836988171162
record_duration_mean,0.0013681161991169826
confidence_n1_duration_max,0.001365517529152979
average_respiration_rate_mean,0.0013182529411580506
confidence_rem_percentage_max,0.0013108056554471668
confidence_n1_duration_median,0.0012847564532158942
confidence_n3_percentage_median,0.0012386026301792674
respiration_rate_n1_std,0.0012203485354938244
confidence_sol_median,0.0012015523450998671
confidence_n2_percentage_mean,0.001198508904157821
sol_mean,0.0011855635308339644
sleep_efficiency_median,0.0011536732265504264
confidence_sleep_efficiency_max,0.0011516202509232552
confidence_rem_latency_std,0.001115829480104626
confidence_nrem_percentage_median,0.0010927267122043851
n2_duration_min,0.0010894418445682214
tst_std,0.0010861017474620962
confidence_n3_duration_max,0.0010694588178624255
confidence_n2_percentage_median,0.0010689242258420176
sol_median,0.001067906512603949
confidence_nrem_percentage_min,0.0010666075702353364
confidence_waso_max,0.001052126581389027
confidence_n1_percentage_std,0.0010333735408972955
confidence_nrem_duration_max,0.001023842546565686
confidence_rem_percentage_std,0.0009860186739360812
confidence_nrem_duration_median,0.0009799874447960059
respiration_rate_n2_max,0.0009791643357182174
tst_median,0.0009362794746180622
respiration_rate_n3_median,0.0009189100387074902
confidence_n3_percentage_max,0.0009066879916788325
