feature,importance,importance_std,candidate_selection
n_epochs_median,0.0015151515151515065,0.0033879817840905707,top_150_by_random_forest_internal_importance
f3_kurtosis_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
c4_delta_beta_ratio_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
f4_hjorth_complexity_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_iqr_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_complexity_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_iqr_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_mobility_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
N1_percentage_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_zero_crossings_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_zero_crossings_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
c4_iqr_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c3_iqr_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_iqr_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
sleep_epochs_mean,0.0,0.0,top_150_by_random_forest_internal_importance
REM_percentage_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_delta_beta_ratio_mean_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_sigma_relative_power_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_skew_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_mobility_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_kurtosis_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_sigma_relative_power_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c3_kurtosis_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_beta_relative_power_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
c3_sigma_relative_power_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
c4_sigma_relative_power_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
REM_epochs_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c3_sigma_relative_power_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
f3_hjorth_mobility_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_zero_crossings_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c3_theta_relative_power_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
N2_epochs_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_mobility_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
c4_beta_relative_power_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_theta_relative_power_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_delta_beta_ratio_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_beta_relative_power_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c3_std_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
N2_percentage_max,0.0,0.0,top_150_by_random_forest_internal_importance
f3_theta_relative_power_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_alpha_relative_power_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_delta_beta_ratio_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_kurtosis_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c3_hjorth_mobility_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_beta_relative_power_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
c4_theta_relative_power_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_iqr_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
c3_theta_relative_power_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_delta_beta_ratio_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_skew_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
c3_alpha_relative_power_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
c4_alpha_relative_power_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
sleep_efficiency_epoch_ratio_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c4_alpha_relative_power_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_mean_min,0.0,0.0,top_150_by_random_forest_internal_importance
f4_theta_relative_power_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_hjorth_mobility_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_zero_crossings_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_mobility_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
N3_epochs_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_iqr_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_delta_beta_ratio_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_complexity_mean_min,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_theta_relative_power_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
sleep_epochs_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_beta_relative_power_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_beta_relative_power_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
N1_percentage_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_skew_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_beta_relative_power_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
sleep_epochs_min,0.0,0.0,top_150_by_random_forest_internal_importance
REM_percentage_median,0.0,0.0,top_150_by_random_forest_internal_importance
c4_sigma_relative_power_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
f4_skew_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_mobility_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
N1_percentage_max,0.0,0.0,top_150_by_random_forest_internal_importance
N1_percentage_min,0.0,0.0,top_150_by_random_forest_internal_importance
f3_theta_relative_power_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
REM_percentage_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_theta_relative_power_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_beta_relative_power_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
N1_epochs_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_sigma_relative_power_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
n_epochs_min,0.0,0.0,top_150_by_random_forest_internal_importance
N1_epochs_mean,0.0,0.0,top_150_by_random_forest_internal_importance
n_epochs_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_mean_min,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
n_epochs_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_mean_min,0.0,0.0,top_150_by_random_forest_internal_importance
N1_epochs_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_mobility_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
N2_percentage_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_skew_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_beta_relative_power_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_theta_relative_power_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c4_hjorth_mobility_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_beta_relative_power_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_beta_ratio_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_beta_relative_power_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_theta_relative_power_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
REM_epochs_median,0.0,0.0,top_150_by_random_forest_internal_importance
c4_delta_sigma_ratio_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
c4_iqr_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
f3_theta_relative_power_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
f3_hjorth_mobility_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
sleep_epochs_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_theta_relative_power_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
N1_epochs_max,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_median_mean,0.0,0.0,top_150_by_random_forest_internal_importance
c4_sigma_relative_power_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
N2_percentage_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_sigma_relative_power_mean_min,0.0,0.0,top_150_by_random_forest_internal_importance
f3_theta_relative_power_mean_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_sigma_relative_power_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f3_kurtosis_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_theta_relative_power_mean_max,0.0,0.0,top_150_by_random_forest_internal_importance
f3_sigma_relative_power_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_beta_relative_power_median_min,0.0,0.0,top_150_by_random_forest_internal_importance
c4_sigma_relative_power_std_max,0.0,0.0,top_150_by_random_forest_internal_importance
f4_delta_relative_power_median_median,0.0,0.0,top_150_by_random_forest_internal_importance
f3_skew_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
c3_sigma_relative_power_std_median,0.0,0.0,top_150_by_random_forest_internal_importance
f4_beta_relative_power_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_kurtosis_std_min,0.0,0.0,top_150_by_random_forest_internal_importance
c3_hjorth_mobility_std_mean,0.0,0.0,top_150_by_random_forest_internal_importance
f4_zero_crossings_median_max,0.0,0.0,top_150_by_random_forest_internal_importance
c4_std_mean_mean,0.0,0.0,top_150_by_random_forest_internal_importance
