dataset,column,reason
CNC EDF,subject_id,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_mean_mean,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_median_mean,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_std_mean,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_mean_median,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_median_median,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_std_median,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_mean_std,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_median_std,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_std_std,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_mean_min,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_median_min,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_std_min,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_mean_max,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_median_max,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary_std_max,"identifier, target, label, or metadata leakage risk"
CNC EDF,file_id,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis,"identifier, target, label, or metadata leakage risk"
CNC EDF,label,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_binary,"identifier, target, label, or metadata leakage risk"
CNC EDF,metadata_source,"identifier, target, label, or metadata leakage risk"
CNC EDF,nrevid,"identifier, target, label, or metadata leakage risk"
CNC EDF,Diagnosis,"identifier, target, label, or metadata leakage risk"
CNC EDF,diagnosis_clean,"identifier, target, label, or metadata leakage risk"
Dreem combined,diagnosis,"identifier, target, label, or metadata leakage risk"
Dreem combined,binary_target,"identifier, target, label, or metadata leakage risk"
