dataset,experiment,target,feature_set,best_model,subjects,positive_subjects,negative_subjects,features_used,balanced_accuracy,macro_f1,roc_auc,sensitivity,specificity,interpretation_role,notes
Dreem,hyperparameter tuned combined model,Narcolepsy vs comparison,combined_report_h5,random_forest,47.0,11.0,36.0,1730.0,0.7320707070707071,0.7161902957683108,0.807979797979798,0.6363636363636364,0.8277777777777777,best main analysis model,Primary tuned result for the main Dreem dataset.
CNC,external PSG EDF narcolepsy/control,T1 narcolepsy vs non-narcolepsy control,EDF spectral/time/sleep-architecture,random_forest,78.0,55.0,23.0,1108.0,0.916600790513834,0.921921921921922,0.9810276679841896,0.9636363636363636,0.8695652173913043,external narcolepsy/control validation-style experiment,"PSG EDF cohort; not wearable Dreem, but directly narcolepsy/control."
Dreem,combined_report_h5 baseline,Narcolepsy vs comparison,combined_report_h5,random_forest,47.0,11.0,36.0,1730.0,0.7114880952380952,0.6975736322501028,0.7963095238095238,,,main Dreem feature-set comparison,Subject-level cross-validation on the main wearable EEG/report dataset.
Dreem,h5_only baseline,Narcolepsy vs comparison,h5_only,logistic_regression,47.0,11.0,36.0,1390.0,0.6377380952380952,0.6223721131809367,0.7085714285714286,,,main Dreem feature-set comparison,Subject-level cross-validation on the main wearable EEG/report dataset.
Dreem,report_only baseline,Narcolepsy vs comparison,report_only,random_forest,47.0,11.0,36.0,340.0,0.679702380952381,0.6586521811521812,0.8118452380952381,,,main Dreem feature-set comparison,Subject-level cross-validation on the main wearable EEG/report dataset.
Dreem,channel strategy,Narcolepsy vs comparison,eeg4,logistic/random forest comparison,47.0,11.0,36.0,330.0,0.6439393939393939,0.6439393939393939,0.7676767676767676,0.4545454545454545,0.8333333333333334,wearable channel sensitivity analysis,Best channel/aggregation strategy was eeg4.
Dreem,stage-level H5 EEG aggregation,narcolepsy vs other,H5 EEG features aggregated within Wake/N1/N2/N3/REM,random_forest,49.0,11.0,38.0,2200.0,0.6674641148325359,0.650958904109589,0.6004784688995215,0.5454545454545454,0.7894736842105263,sleep-stage-aware feature experiment,Uses 30-second H5 epochs summarised separately by scored sleep stage; subtype rows are exploratory.
Dreem,advanced H5 EEG feature experiment,Narcolepsy vs comparison,"H5 entropy, spindle, slow-wave and spectral/time features",logistic_regression,47.0,11.0,36.0,1853.0,0.5669191919191919,0.5712280701754386,0.5858585858585859,0.2727272727272727,0.8611111111111112,advanced EEG feature ablation/extension,Full-cohort advanced H5 extraction completed; performance did not improve over simpler H5/combined features.
Dreem,diagnosis-specific exploratory model,NT1_vs_all_other,combined_report_h5,logistic_regression,47.0,8.0,39.0,1730.0,0.5480769230769231,0.5480769230769231,0.5833333333333333,0.25,0.8461538461538461,exploratory subtype analysis,Small subtype sample; interpret cautiously.
Dreem,diagnosis-specific exploratory model,NT2_vs_all_other,combined_report_h5,linear_svm,47.0,3.0,44.0,1730.0,0.4772727272727273,0.4719101123595505,0.856060606060606,0.0,0.9545454545454546,exploratory subtype analysis,Small subtype sample; interpret cautiously.
Dreem,stage-level H5 EEG aggregation,nt1 vs other,H5 EEG features aggregated within Wake/N1/N2/N3/REM,random_forest,49.0,8.0,41.0,2200.0,0.6509146341463414,0.6666666666666666,0.7286585365853658,0.375,0.926829268292683,sleep-stage-aware feature experiment,Uses 30-second H5 epochs summarised separately by scored sleep stage; subtype rows are exploratory.
Dreem,stage-level H5 EEG aggregation,nt2 vs other,H5 EEG features aggregated within Wake/N1/N2/N3/REM,random_forest,49.0,3.0,46.0,2200.0,0.5,0.4842105263157895,0.8768115942028986,0.0,1.0,sleep-stage-aware feature experiment,Uses 30-second H5 epochs summarised separately by scored sleep stage; subtype rows are exploratory.
NRev + SSP,same-device external comparison,NRev narcolepsy vs SSP healthy/control,common report features,random_forest,106.0,11.0,95.0,190.0,1.0,1.0,1.0,1.0,1.0,domain-shift sensitivity analysis,Original common-feature result was audited with a cleaned sleep-architecture feature set.
PhysioNet Sleep-EDF,reference sleep-stage baseline,sleep-stage classification/reference,EDF spectral/time features,linear_svm,,,,,0.7248406213772209,0.7008731386515287,,,,method development/reference dataset,"Used to validate EDF loading, epoching, and feature extraction workflow."
