dataset,experiment,target,model,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
Dreem,report_only,Narcolepsy vs comparison,random_forest,0.679702380952381,0.1743683460490805,0.6586521811521812,0.1642457195161486,0.8118452380952381,0.1429953701403549,0.5533333333333333,0.3148623858060293,0.8060714285714287,0.1355650744885073
Dreem,report_only,Narcolepsy vs comparison,gradient_boosting,0.6722619047619048,0.1752037481656157,0.6679678409825469,0.1830379253973924,0.6755654761904762,0.2211849953482614,0.4766666666666666,0.310456470305659,0.8678571428571428,0.1372818780313643
Dreem,report_only,Narcolepsy vs comparison,logistic_regression,0.6194642857142857,0.1602468298939027,0.6042662631486161,0.1539875141148041,0.7701190476190476,0.1563464982688782,0.45,0.2901442287369986,0.7889285714285714,0.1349241422303711
Dreem,report_only,Narcolepsy vs comparison,linear_svm,0.5961309523809524,0.162787675160852,0.5856862124803301,0.1567928148020957,0.7097023809523809,0.172486219881763,0.4133333333333333,0.2719710535484502,0.7789285714285714,0.1374661557681536
Dreem,h5_only,Narcolepsy vs comparison,logistic_regression,0.6377380952380952,0.2038955713630694,0.6223721131809367,0.210921075206232,0.7085714285714286,0.2265010207736275,0.4333333333333333,0.3703892663358106,0.8421428571428571,0.1360610117451647
Dreem,h5_only,Narcolepsy vs comparison,random_forest,0.6239285714285715,0.185652602449669,0.6062592750386868,0.1843998577887067,0.7443452380952381,0.2067037212267032,0.45,0.3234066120763363,0.7978571428571429,0.151412893186942
Dreem,h5_only,Narcolepsy vs comparison,linear_svm,0.5856547619047618,0.1808400696323322,0.56757812122518,0.190704283616182,0.6333333333333333,0.2252117462506485,0.3166666666666666,0.3503318802276705,0.854642857142857,0.1364264153509052
Dreem,h5_only,Narcolepsy vs comparison,gradient_boosting,0.5693452380952381,0.1576885224741764,0.5483172219936926,0.1568748543740568,0.6258035714285713,0.2078510335131934,0.3633333333333333,0.304333776664779,0.7753571428571427,0.1491459268531202
Dreem,combined_report_h5,Narcolepsy vs comparison,random_forest,0.7114880952380952,0.1792256097167801,0.6975736322501028,0.178600626545386,0.7963095238095238,0.1574486452602984,0.5733333333333334,0.3197221015541813,0.849642857142857,0.1445368632263765
Dreem,combined_report_h5,Narcolepsy vs comparison,gradient_boosting,0.6410119047619048,0.1729296763604362,0.6272366457072339,0.1905364365969172,0.7154761904761905,0.181721288152032,0.4466666666666666,0.3057276365576099,0.8353571428571429,0.1710245634145244
Dreem,combined_report_h5,Narcolepsy vs comparison,logistic_regression,0.6155952380952381,0.1926272490298657,0.6013881706528765,0.1920503571305065,0.7371428571428571,0.1664793998607633,0.4033333333333334,0.341880221960558,0.8278571428571427,0.1177764986043064
Dreem,combined_report_h5,Narcolepsy vs comparison,linear_svm,0.5992857142857143,0.1949596102227705,0.5891885369532429,0.1995549317255097,0.657797619047619,0.205148404144267,0.36,0.3406676118575223,0.8385714285714286,0.114481428629456
CNC,cnc_edf,T1 narcolepsy vs control,random_forest,0.916600790513834,,0.921921921921922,,0.9810276679841896,,0.9636363636363636,,0.8695652173913043,
CNC,cnc_edf,T1 narcolepsy vs control,logistic_regression,0.9146245059288538,,0.8846153846153846,,0.9391304347826088,,0.8727272727272727,,0.9565217391304348,
CNC,cnc_edf,T1 narcolepsy vs control,support_vector_machine,0.9075098814229248,,0.9075098814229248,,0.9446640316205532,,0.9454545454545454,,0.8695652173913043,
CNC,cnc_edf,T1 narcolepsy vs control,gradient_boosting,0.8367588932806325,,0.8325200078079251,,0.8770750988142293,,0.8909090909090909,,0.782608695652174,
Dreem,stage_level_h5,narcolepsy vs other,random_forest,0.6674641148325359,,0.650958904109589,,0.6004784688995215,,0.5454545454545454,,0.7894736842105263,
Dreem,stage_level_h5,nt1 vs other,random_forest,0.6509146341463414,,0.6666666666666666,,0.7286585365853658,,0.375,,0.926829268292683,
Dreem,stage_level_h5,nt2 vs other,random_forest,0.5,,0.4842105263157895,,0.8768115942028986,,0.0,,1.0,
Dreem,advanced_h5_features,Narcolepsy vs comparison,logistic_regression,0.5669191919191919,,0.5712280701754386,,0.5858585858585859,,0.2727272727272727,,0.8611111111111112,
Dreem,advanced_h5_features,Narcolepsy vs comparison,random_forest,0.5252525252525253,,0.5252525252525253,,0.6767676767676768,,0.2727272727272727,,0.7777777777777778,
PhysioNet,sleep_edf_reference,sleep-stage classification/reference,linear_svm,0.7248406213772209,,0.7008731386515287,,,,,,,
PhysioNet,sleep_edf_reference,sleep-stage classification/reference,logistic_regression,0.7204855401523702,,0.6986396282029214,,,,,,,
PhysioNet,sleep_edf_reference,sleep-stage classification/reference,random_forest,0.7143925811980878,,0.7118325144038444,,,,,,,
PhysioNet,sleep_edf_reference,sleep-stage classification/reference,gradient_boosting,0.7139386365846311,,0.7121767045498195,,,,,,,
