source,feature,importance
Dreem report only,nrem_percentage_median,0.025462962962963
Dreem report only,rem_percentage_median,0.0250000000000001
Dreem report only,confidence_sleep_efficiency_min,0.0046296296296296
Dreem report only,confidence_sleep_efficiency_mean,0.0013888888888888
Dreem H5 only,eeg4_theta_alpha_ratio_std_min,0.0698232323232323
Dreem H5 only,eeg2_iqr_mean_min,0.048989898989899
Dreem H5 only,eeg4_theta_alpha_ratio_std_median,0.0483164983164983
Dreem H5 only,eeg4_alpha_power_std_std,0.0445286195286195
Dreem H5 only,eeg4_theta_alpha_ratio_mean_min,0.044486531986532
Dreem H5 only,eeg1_delta_beta_ratio_mean_median,0.0335016835016835
Dreem H5 only,eeg2_theta_alpha_ratio_std_mean,0.0256734006734007
Dreem H5 only,eeg1_delta_sigma_ratio_mean_median,0.0178030303030303
Dreem H5 only,eeg4_delta_beta_ratio_std_median,0.0116582491582491
Dreem H5 only,eeg4_delta_sigma_ratio_mean_min,0.0115319865319865
Dreem H5 only,eeg1_std_mean_median,0.0103535353535353
Dreem H5 only,eeg1_delta_sigma_ratio_mean_mean,0.0102693602693602
Dreem H5 only,eeg4_delta_beta_ratio_std_max,0.0092592592592593
Dreem H5 only,eeg2_theta_alpha_ratio_std_std,0.0087962962962963
Dreem H5 only,eeg1_theta_alpha_ratio_std_mean,0.0087542087542087
Dreem H5 only,eeg4_delta_sigma_ratio_std_median,0.0075757575757575
Dreem H5 only,eeg1_delta_sigma_ratio_std_std,0.0072390572390572
Dreem H5 only,eeg4_iqr_mean_min,0.0055555555555555
Dreem H5 only,eeg4_delta_beta_ratio_mean_median,0.0052609427609427
Dreem H5 only,eeg1_delta_sigma_ratio_std_max,0.0052609427609427
Dreem H5 only,eeg4_iqr_std_min,0.0041666666666667
Dreem H5 only,eeg4_iqr_std_median,0.0032828282828283
Dreem H5 only,eeg4_mean_std_min,0.0031565656565656
Dreem H5 only,eeg1_delta_sigma_ratio_mean_std,0.0031565656565656
Dreem H5 only,eeg4_delta_sigma_ratio_std_min,0.0027777777777778
Dreem combined,report__confidence_n1_percentage_max,0.1042932804720547
Dreem combined,h5__eeg4_theta_alpha_ratio_std_median,0.099466507797218
Dreem combined,h5__eeg4_theta_alpha_ratio_std_min,0.0449476308825849
Dreem combined,report__confidence_n1_duration_median,0.034700005934851
Dreem combined,report__confidence_nrem_percentage_max,0.0341769018814526
Dreem combined,h5__eeg4_delta_beta_ratio_mean_min,0.0338189408094644
Dreem combined,report__confidence_nrem_duration_median,0.0315561172000552
Dreem combined,report__confidence_waso_aasm_median,0.0309101031420708
Dreem combined,h5__eeg4_theta_alpha_ratio_mean_min,0.0308669218610687
Dreem combined,report__confidence_rem_percentage_max,0.0308179959940128
Dreem combined,report__confidence_wake_duration_median,0.0301772583064497
Dreem combined,h5__eeg4_delta_sigma_ratio_mean_min,0.0287267863182766
Dreem combined,h5__eeg1_theta_alpha_ratio_std_mean,0.0275105923189285
Dreem combined,report__confidence_sleep_efficiency_mean,0.0246470334739586
Dreem combined,report__confidence_tst_median,0.0244408957944543
Dreem combined,report__confidence_waso_median,0.0232182052703436
Dreem combined,report__awakenings_median,0.0228585193797771
Dreem combined,report__confidence_n1_percentage_median,0.0226731833029164
Dreem combined,h5__eeg4_iqr_mean_min,0.0225201394928374
Dreem combined,report__confidence_n1_duration_mean,0.0198061934530077
Dreem combined,report__confidence_nrem_percentage_mean,0.0184591491456046
Dreem combined,h5__eeg4_std_mean_min,0.0170875358180489
