subject_id,recording_id,epochs
SC400,SC4001E0,841
SC400,SC4002E0,1127
SC401,SC4011E0,1103
SC401,SC4012E0,1186
SC402,SC4021E0,1025
SC402,SC4022E0,1009
SC403,SC4031E0,952
SC403,SC4032E0,911
SC404,SC4041E0,1235
SC404,SC4042E0,1200
SC405,SC4051E0,672
SC405,SC4052E0,1246
SC406,SC4061E0,843
SC406,SC4062E0,1016
SC407,SC4071E0,976
SC407,SC4072E0,1273
SC408,SC4081E0,1134
SC408,SC4082E0,1054
SC409,SC4091E0,1132
SC409,SC4092E0,1105
SC410,SC4101E0,1104
SC410,SC4102E0,1092
SC411,SC4111E0,928
SC411,SC4112E0,802
SC412,SC4121E0,1052
SC412,SC4122E0,977
SC413,SC4131E0,1028
SC414,SC4141E0,1004
SC414,SC4142E0,952
SC415,SC4151E0,952
SC415,SC4152E0,1762
SC416,SC4161E0,1144
SC416,SC4162E0,1003
SC417,SC4171E0,1002
SC417,SC4172E0,1773
SC418,SC4181E0,964
SC418,SC4182E0,920
SC419,SC4191E0,1535
SC419,SC4192E0,1274
SC420,SC4201E0,1022
