column,missing_count,missing_percentage
eeg_fpz_cz_mean,0,0.0
eeg_pz_oz_skew,0,0.0
eeg_pz_oz_zero_crossings,0,0.0
eeg_pz_oz_hjorth_mobility,0,0.0
eeg_pz_oz_hjorth_complexity,0,0.0
eeg_pz_oz_total_power_0p5_30,0,0.0
eeg_pz_oz_delta_power,0,0.0
eeg_pz_oz_delta_relative_power,0,0.0
eeg_pz_oz_theta_power,0,0.0
eeg_pz_oz_theta_relative_power,0,0.0
eeg_pz_oz_alpha_power,0,0.0
eeg_pz_oz_alpha_relative_power,0,0.0
eeg_pz_oz_sigma_power,0,0.0
eeg_pz_oz_sigma_relative_power,0,0.0
eeg_pz_oz_beta_power,0,0.0
eeg_pz_oz_beta_relative_power,0,0.0
eeg_pz_oz_theta_alpha_ratio,0,0.0
eeg_pz_oz_delta_beta_ratio,0,0.0
eeg_pz_oz_delta_sigma_ratio,0,0.0
subject_id,0,0.0
recording_id,0,0.0
epoch_index,0,0.0
label,0,0.0
eeg_pz_oz_kurtosis,0,0.0
eeg_pz_oz_iqr,0,0.0
eeg_fpz_cz_std,0,0.0
eeg_pz_oz_std,0,0.0
eeg_fpz_cz_iqr,0,0.0
eeg_fpz_cz_skew,0,0.0
eeg_fpz_cz_kurtosis,0,0.0
eeg_fpz_cz_zero_crossings,0,0.0
eeg_fpz_cz_hjorth_mobility,0,0.0
eeg_fpz_cz_hjorth_complexity,0,0.0
eeg_fpz_cz_total_power_0p5_30,0,0.0
eeg_fpz_cz_delta_power,0,0.0
eeg_fpz_cz_delta_relative_power,0,0.0
eeg_fpz_cz_theta_power,0,0.0
eeg_fpz_cz_theta_relative_power,0,0.0
eeg_fpz_cz_alpha_power,0,0.0
eeg_fpz_cz_alpha_relative_power,0,0.0
eeg_fpz_cz_sigma_power,0,0.0
eeg_fpz_cz_sigma_relative_power,0,0.0
eeg_fpz_cz_beta_power,0,0.0
eeg_fpz_cz_beta_relative_power,0,0.0
eeg_fpz_cz_theta_alpha_ratio,0,0.0
eeg_fpz_cz_delta_beta_ratio,0,0.0
eeg_fpz_cz_delta_sigma_ratio,0,0.0
eeg_pz_oz_mean,0,0.0
raw_label,0,0.0
