recording_id,time_seconds,EEG Fpz-Cz,EEG Pz-Oz
SC4001E0,0.0,5.0168498168498166e-06,-2.4673992673992548e-06
SC4001E0,0.01,-2.578754578754579e-06,1.4673992673992796e-06
SC4001E0,0.02,1.3597069597069596e-06,-4.0989010989010866e-06
SC4001E0,0.03,-2.3912087912087914e-06,-2.659340659340647e-06
SC4001E0,0.04,-5.2043956043956044e-06,-7.399267399267277e-07
SC4001E0,0.05,-7.454945054945055e-06,-1.4117216117215996e-06
SC4001E0,0.06,-8.298901098901099e-06,-9.318681318681197e-07
SC4001E0,0.07,-6.892307692307693e-06,1.8512820512820636e-06
SC4001E0,0.08,-3.704029304029304e-06,-8.358974358974236e-07
SC4001E0,0.09,-9.846153846153847e-07,-8.358974358974236e-07
SC4001E0,0.1,2.203663003663003e-06,-1.0624908424908414e-05
SC4001E0,0.11,2.016117216117216e-06,-1.3408058608058595e-05
SC4001E0,0.12,1.641025641025641e-06,-1.0816849816849804e-05
SC4001E0,0.13,-2.6725274725274728e-06,-4.290842490842479e-06
SC4001E0,0.14,-7.970695970695972e-07,-3.427106227106215e-06
SC4001E0,0.15,1.3597069597069596e-06,-3.043223443223431e-06
SC4001E0,0.16,2.8600732600732594e-06,-1.6036630036629915e-06
SC4001E0,0.17,-2.203663003663004e-06,-8.033699633699622e-06
SC4001E0,0.18,5.157509157509156e-07,-5.826373626373614e-06
SC4001E0,0.19,5.86080586080586e-06,-7.457875457875446e-06
SC4001E0,0.2,-1.7347985347985347e-06,-3.715018315018303e-06
SC4001E0,0.21,-3.0476190476190477e-06,-1.9875457875457753e-06
SC4001E0,0.22,2.8600732600732594e-06,-3.427106227106215e-06
SC4001E0,0.23,7.83003663003663e-06,-1.0720879120879108e-05
SC4001E0,0.24,2.9538461538461533e-06,-1.1488644688644675e-05
SC4001E0,0.25,-9.846153846153847e-07,-8.705494505494494e-06
SC4001E0,0.26,-1.9223443223443225e-06,-2.7553113553113434e-06
SC4001E0,0.27,-6.704761904761905e-06,-2.7553113553113434e-06
SC4001E0,0.28,-7.548717948717948e-06,-2.659340659340647e-06
SC4001E0,0.29,-4.8293040293040295e-06,6.03663003663016e-07
SC4001E0,0.3,-1.261245421245421e-05,3.962637362637375e-06
SC4001E0,0.31,-9.236630036630037e-06,-1.3157509157509035e-06
SC4001E0,0.32,-1.2331135531135532e-05,-2.563369963369951e-06
SC4001E0,0.33,-8.298901098901099e-06,-1.9875457875457753e-06
SC4001E0,0.34,-1.636336996336996e-05,-5.634432234432222e-06
SC4001E0,0.35,-2.1145787545787544e-05,-6.439560439560317e-07
SC4001E0,0.36,-2.3677655677655678e-05,1.5633699633699754e-06
SC4001E0,0.37,-2.123956043956044e-05,-7.399267399267277e-07
SC4001E0,0.38,-2.0208058608058606e-05,1.2754578754578877e-06
SC4001E0,0.39,-2.3771428571428573e-05,-5.826373626373614e-06
SC4001E0,0.4,-2.6115750915750916e-05,4.11721611721624e-07
SC4001E0,0.41,-2.5646886446886446e-05,1.5633699633699754e-06
SC4001E0,0.42,-2.6115750915750916e-05,4.346520146520159e-06
SC4001E0,0.43,-2.6678388278388277e-05,2.9069597069597193e-06
SC4001E0,0.44,-2.2833699633699634e-05,-6.813186813185585e-08
SC4001E0,0.45,-2.2458608058608057e-05,2.9069597069597193e-06
SC4001E0,0.46,-2.152087912087912e-05,5.402197802197814e-06
SC4001E0,0.47,-1.6644688644688645e-05,1.1794871794871918e-06
SC4001E0,0.48,-1.608205128205128e-05,1.7553113553113676e-06
SC4001E0,0.49,-1.1393406593406593e-05,-1.1008791208791196e-05
SC4001E0,0.5,-1.158095238095238e-05,-1.1104761904761892e-05
SC4001E0,0.51,-1.5425641025641025e-05,-1.0336996336996324e-05
SC4001E0,0.52,-1.5238095238095238e-05,-6.114285714285702e-06
SC4001E0,0.53,-1.4487912087912088e-05,-2.3714285714285596e-06
SC4001E0,0.54,-1.6644688644688645e-05,-1.6996336996336873e-06
SC4001E0,0.55,-1.711355311355311e-05,-2.179487179487167e-06
SC4001E0,0.56,-1.28e-05,3.866666666666679e-06
SC4001E0,0.57,-9.049084249084249e-06,9.875457875457997e-07
SC4001E0,0.58,-6.142124542124542e-06,4.634432234432247e-06
SC4001E0,0.59,-9.049084249084249e-06,6.99633699633712e-07
SC4001E0,0.6,-7.548717948717948e-06,7.956043956044079e-07
SC4001E0,0.61,-8.58021978021978e-06,-3.523076923076911e-06
SC4001E0,0.62,-5.485714285714286e-06,-3.427106227106215e-06
SC4001E0,0.63,-2.6725274725274728e-06,-1.0278388278388157e-06
SC4001E0,0.64,-1.9223443223443225e-06,-1.7956043956043834e-06
SC4001E0,0.65,-5.767032967032966e-06,4.2505494505494625e-06
SC4001E0,0.66,-5.954578754578754e-06,7.513553113553125e-06
SC4001E0,0.67,-4.360439560439561e-06,3.1948717948718075e-06
SC4001E0,0.68,-5.110622710622711e-06,5.5941391941392065e-06
SC4001E0,0.69,-5.954578754578754e-06,2.5230769230769354e-06
SC4001E0,0.7,-3.797802197802198e-06,6.03663003663016e-07
SC4001E0,0.71,-7.032967032967035e-07,-2.9472527472527347e-06
SC4001E0,0.72,-3.797802197802198e-06,6.03663003663016e-07
SC4001E0,0.73,-5.0168498168498166e-06,-9.318681318681197e-07
SC4001E0,0.74,-2.9538461538461537e-06,3.386813186813199e-06
SC4001E0,0.75,-1.5472527472527474e-06,3.770695970695983e-06
SC4001E0,0.76,-1.4534798534798535e-06,9.720879120879135e-06
